seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	4437	rna-NM_168164.3	Or65b
ref::NT_037436.4	4996	6457	rna-NM_168165.2	Or65c
ref::NT_037436.4	6712	29778	rna-NM_139786.3	CG13300
ref::NT_037436.4	27664	28217	rna-NM_001169882.1	Sfp65A
ref::NT_037436.4	47361	47979	rna-NR_124814.1	lncRNA:CR45419
ref::NT_037436.4	54094	54585	rna-NR_133178.1	lncRNA:CR45980
ref::NT_037436.4	77978	163352	rna-NM_139788.3	CG42747
ref::NT_037436.4	163555	165812	rna-NM_001274548.1	CG10147
ref::NT_037436.4	163985	165812	rna-NM_139789.2	CG10147
ref::NT_037436.4	166069	168598	rna-NM_139790.3	Bulli
qry::NC_052529.2	3000	4582	rna-XM_002093887.2	LOC6533197
qry::NC_052529.2	5188	6660	rna-XM_015194355.2	LOC6533198
qry::NC_052529.2	7484	8176	rna-XM_039373829.2	LOC26534669
qry::NC_052529.2	8209	8660	rna-XM_043207036.1	LOC122319579
qry::NC_052529.2	8914	32435	rna-XM_015194357.3	LOC6533199
qry::NC_052529.2	29939	30769	rna-XM_039373934.1	LOC120321447
qry::NC_052529.2	83346	145807	rna-XM_002093895.4	LOC6533205
qry::NC_052529.2	121368	122193	rna-XR_005561366.1	LOC120321640
qry::NC_052529.2	122328	122830	rna-XR_005561364.2	LOC120321639
qry::NC_052529.2	146229	148457	rna-XM_002093896.3	LOC6533206
qry::NC_052529.2	148522	151064	rna-XM_002093897.3	LOC6533207
