seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	3819	rna-NM_001299571.1	Sfp53D
ref::NT_033778.4	3243	3819	rna-NM_001169699.2	Sfp53D
ref::NT_033778.4	3928	5284	rna-NM_137307.4	CG15617
ref::NT_033778.4	6539	7295	rna-NM_001299572.1	Acp53C14a
ref::NT_033778.4	6765	7295	rna-NM_137308.3	Acp53C14a
ref::NT_033778.4	7520	8165	rna-NM_001299573.1	Acp53C14b
ref::NT_033778.4	7611	8165	rna-NM_137309.4	Acp53C14b
ref::NT_033778.4	8508	9040	rna-NM_057803.5	Acp53Ea
ref::NT_033778.4	9481	10200	rna-NM_001014532.3	Acp53C14c
ref::NT_033778.4	9481	10200	rna-NM_001202032.2	Acp53C14c
ref::NT_033778.4	10208	24705	rna-NM_001103876.3	unc-104
ref::NT_033778.4	10208	24705	rna-NM_001259444.2	unc-104
ref::NT_033778.4	10208	24705	rna-NM_001259445.2	unc-104
ref::NT_033778.4	10208	24705	rna-NM_137311.5	unc-104
ref::NT_033778.4	10208	24705	rna-NM_166190.4	unc-104
ref::NT_033778.4	10208	31205	rna-NM_001274104.2	unc-104
ref::NT_033778.4	10208	31205	rna-NM_001316424.1	unc-104
ref::NT_033778.4	10208	31376	rna-NM_166192.4	unc-104
qry::NC_052528.2	0	840	rna-XM_015195794.2	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373220.1	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373221.1	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373222.1	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373223.1	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373224.1	LOC6531363
qry::NC_052528.2	0	840	rna-XM_039373225.1	LOC6531363
qry::NC_052528.2	949	1570	rna-XM_002092132.3	LOC6531365
qry::NC_052528.2	2099	2655	rna-XM_002092133.3	LOC6531366
qry::NC_052528.2	3000	3643	rna-XM_002092134.3	LOC6531367
qry::NC_052528.2	3926	4491	rna-XM_002092135.3	LOC6531368
qry::NC_052528.2	4533	4939	rna-XR_001454257.3	LOC26535584
qry::NC_052528.2	5493	7312	rna-XM_002092136.4	LOC6531369
qry::NC_052528.2	7525	8093	rna-XM_002092137.4	LOC6531370
