seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	56	909	rna-NM_137372.4	insb
ref::NT_033778.4	56	1114	rna-NM_001299602.1	insb
ref::NT_033778.4	2407	11062	rna-NM_001299603.1	CG43110
ref::NT_033778.4	3000	6960	rna-NM_001299604.1	veil
ref::NT_033778.4	3989	6960	rna-NM_137373.3	veil
ref::NT_033778.4	6840	8894	rna-NM_001259467.2	CG43110
ref::NT_033778.4	9844	18011	rna-NM_137374.3	NT5E-2
ref::NT_033778.4	9844	18011	rna-NM_166232.2	NT5E-2
ref::NT_033778.4	18537	20840	rna-NM_166233.4	CG30103
ref::NT_033778.4	27196	33487	rna-NM_001032264.4	nw
ref::NT_033778.4	27519	32301	rna-NM_001259468.2	nw
ref::NT_033778.4	27519	33487	rna-NM_001032265.4	nw
ref::NT_033778.4	27519	33487	rna-NM_001032266.4	nw
ref::NT_033778.4	27519	33487	rna-NM_001202034.3	nw
ref::NT_033778.4	33837	36236	rna-NM_001299605.1	CG34193
ref::NT_033778.4	34768	35640	rna-NM_001103887.3	CG34193
ref::NT_033778.4	36355	38697	rna-NM_137377.3	CtsK2
qry::NC_052528.2	0	95	rna-XM_015195959.2	LOC6531629
qry::NC_052528.2	1255	1641	rna-XM_002092391.3	LOC6531630
qry::NC_052528.2	3000	5301	rna-XM_015195961.3	LOC6531632
qry::NC_052528.2	3000	9312	rna-XM_002092393.4	LOC6531632
qry::NC_052528.2	3000	9313	rna-XM_015195960.3	LOC6531632
qry::NC_052528.2	4862	9314	rna-XM_039372920.1	LOC6531632
qry::NC_052528.2	15602	21923	rna-XM_039372349.2	LOC6531634
qry::NC_052528.2	23127	25246	rna-XM_015195962.2	LOC26536202
qry::NC_052528.2	25230	28305	rna-XM_015195964.2	LOC6531635
qry::NC_052528.2	25230	28330	rna-XM_002092396.3	LOC6531635
qry::NC_052528.2	31065	32273	rna-XM_002092397.3	LOC6531636
