seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	34033	rna-NM_001316497.1	foxo
ref::NT_033777.3	3000	34033	rna-NM_142073.5	foxo
ref::NT_033777.3	3000	34033	rna-NM_206482.3	foxo
ref::NT_033777.3	3000	34033	rna-NM_206483.3	foxo
ref::NT_033777.3	3974	34033	rna-NM_001275628.1	foxo
ref::NT_033777.3	35572	38480	rna-NM_142074.4	Npc2b
ref::NT_033777.3	36817	38480	rna-NM_169568.3	Npc2b
ref::NT_033777.3	38559	42890	rna-NM_001104314.2	CCHa1
ref::NT_033777.3	43348	44135	rna-NM_142076.3	CG9920
ref::NT_033777.3	45198	45770	rna-NR_190040.1	lncRNA:CR46531
ref::NT_033777.3	45887	49177	rna-NM_001260160.1	PK1-R
ref::NT_033777.3	46513	48892	rna-NM_001014620.2	PK1-R
qry::NC_052523.2	0	1253	rna-XM_002103459.4	LOC6728144
qry::NC_052523.2	3000	3801	rna-XM_016176759.3	LOC27206467
qry::NC_052523.2	4262	9041	rna-XM_039296014.1	LOC6728146
qry::NC_052523.2	8829	10622	rna-XM_016175289.3	LOC6728147
qry::NC_052523.2	8829	11870	rna-XM_016175290.3	LOC6728147
qry::NC_052523.2	12905	43713	rna-XM_016175288.3	LOC6728148
qry::NC_052523.2	12905	43713	rna-XM_039296015.2	LOC6728148
