seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	3000	13010	rna-NM_001298460.1	unc-4
ref::NC_004354.4	3000	13010	rna-NM_001298461.1	unc-4
ref::NC_004354.4	3000	13139	rna-NM_133014.3	unc-4
ref::NC_004354.4	25441	48442	rna-NM_078665.3	OdsH
ref::NC_004354.4	53586	54116	rna-NM_133015.2	CG12986
ref::NC_004354.4	55195	61995	rna-NM_001272733.2	Socs16D
ref::NC_004354.4	55206	61951	rna-NM_078666.4	Socs16D
ref::NC_004354.4	62527	65525	rna-NR_123934.1	lncRNA:CR44691
qry::NC_052526.2	2997	12468	rna-XR_005561213.1	LOC6525710
qry::NC_052526.2	3000	13946	rna-XM_002101496.4	LOC6525710
qry::NC_052526.2	26924	47669	rna-XM_039375147.2	LOC6525713
qry::NC_052526.2	26927	47669	rna-XM_039375143.1	LOC6525713
qry::NC_052526.2	53066	53676	rna-XM_002101500.3	LOC6525714
qry::NC_052526.2	57453	62149	rna-XM_002101501.4	LOC6525715
qry::NC_052526.2	57453	63243	rna-XM_015190956.3	LOC6525715
