seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	201	1656	rna-NM_141122.4	CG7133
ref::NT_037436.4	2189	2889	rna-NM_141123.3	CG7130
ref::NT_037436.4	3000	4620	rna-NM_001275273.1	RpLP0
ref::NT_037436.4	3225	4620	rna-NM_079487.4	RpLP0
ref::NT_037436.4	7455	7687	rna-NM_001170024.2	Sfp79B
ref::NT_037436.4	9853	10500	rna-NM_001275274.1	msopa
ref::NT_037436.4	9941	10317	rna-NM_080120.3	msopa
ref::NT_037436.4	49065	49879	rna-NR_144657.1	lncRNA:CR45236
ref::NT_037436.4	63223	169925	rna-NM_168948.5	olf413
ref::NT_037436.4	63223	174835	rna-NM_001275275.1	olf413
ref::NT_037436.4	103556	104732	rna-NR_133301.1	lncRNA:CR45971
ref::NT_037436.4	124916	125374	rna-NR_133302.1	lncRNA:CR45972
ref::NT_037436.4	152653	153011	rna-NR_125040.1	lncRNA:CR45035
qry::NC_052522.2	16	1584	rna-XM_016169085.3	LOC6739095
qry::NC_052522.2	16	1585	rna-XM_016169086.3	LOC6739095
qry::NC_052522.2	1654	2861	rna-XM_016169084.3	LOC27206205
qry::NC_052522.2	3000	4511	rna-XM_039293918.2	LOC6739097
qry::NC_052522.2	7447	7606	rna-XM_039293920.2	LOC120284801
qry::NC_052522.2	9889	10255	rna-XM_039293919.2	LOC27207855
qry::NC_052522.2	10793	11637	rna-XR_005544049.1	LOC120284803
qry::NC_052522.2	59185	172785	rna-XM_016171927.3	LOC6739100
qry::NC_052522.2	143843	160888	rna-XR_001601045.3	LOC27208789
