seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	313	564	rna-NR_073973.1	lncRNA:CR43995
ref::NT_037436.4	1012	2467	rna-NM_141122.4	CG7133
ref::NT_037436.4	3000	3700	rna-NM_141123.3	CG7130
ref::NT_037436.4	3811	5431	rna-NM_001275273.1	RpLP0
ref::NT_037436.4	4036	5431	rna-NM_079487.4	RpLP0
ref::NT_037436.4	8266	8498	rna-NM_001170024.2	Sfp79B
qry::NC_052529.2	0	1357	rna-XM_002086193.4	LOC6539337
qry::NC_052529.2	0	1362	rna-XM_039374630.2	LOC6539337
qry::NC_052529.2	1626	4376	rna-XM_039374634.2	LOC6535132
qry::NC_052529.2	1626	4380	rna-XM_039374635.2	LOC6535132
qry::NC_052529.2	3000	4368	rna-XM_043207073.1	LOC6535132
qry::NC_052529.2	4391	5890	rna-XM_002095759.4	LOC6535133
