seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	26621	rna-NM_079467.3	fng
ref::NT_037436.4	4935	6299	rna-NM_141012.2	CG10589
ref::NT_037436.4	27468	27892	rna-NR_125030.1	lncRNA:CR45243
ref::NT_037436.4	32864	33859	rna-NM_141013.2	Sems
ref::NT_037436.4	34043	37279	rna-NM_141014.2	CG10588
ref::NT_037436.4	34043	37769	rna-NM_001300206.1	CG10588
ref::NT_037436.4	37507	38495	rna-NM_141015.2	CG11037
ref::NT_037436.4	38646	39664	rna-NM_001144517.2	CG10587
ref::NT_037436.4	38646	39664	rna-NM_001300207.1	CG10587
ref::NT_037436.4	38646	39664	rna-NM_141016.2	CG10587
ref::NT_037436.4	39764	43871	rna-NM_001144519.3	CG12983
ref::NT_037436.4	39764	43871	rna-NM_001259924.1	CG12983
ref::NT_037436.4	39764	43871	rna-NM_001275204.1	CG12983
ref::NT_037436.4	39768	43871	rna-NM_001144520.2	CG12983
ref::NT_037436.4	39770	43871	rna-NM_001144518.3	CG12983
qry::NC_052529.2	0	1771	rna-XM_039373826.2	LOC6539767
qry::NC_052529.2	0	1771	rna-XM_039373827.2	LOC6539767
qry::NC_052529.2	1796	2897	rna-XM_002086618.3	LOC6539766
qry::NC_052529.2	1796	2897	rna-XM_015189499.2	LOC6539766
qry::NC_052529.2	3000	4165	rna-XM_002095354.3	LOC6534715
qry::NC_052529.2	4245	7560	rna-XM_015195309.3	LOC6534716
qry::NC_052529.2	7714	8749	rna-XM_002086615.4	LOC6539773
qry::NC_052529.2	15248	39311	rna-XM_002095357.3	LOC6534718
qry::NC_052529.2	23432	27194	rna-XR_005561032.1	LOC120321425
qry::NC_052529.2	36017	37324	rna-XM_002095358.3	LOC6534719
