seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	1601	1978	rna-NM_079774.4	Mst57Dc
ref::NT_033777.3	2341	2508	rna-NM_001170267.2	Sfp96F
ref::NT_033777.3	3000	3194	rna-NM_079775.5	Mst57Db
ref::NT_033777.3	3855	4179	rna-NM_080167.4	Mst57Da
ref::NT_033777.3	4510	15158	rna-NM_143177.4	alpha4GT2
ref::NT_033777.3	16198	16658	rna-NR_125256.1	lncRNA:CR45653
ref::NT_033777.3	17958	18598	rna-NR_125257.1	lncRNA:CR45654
qry::NC_052530.2	3000	4710	rna-XM_002098948.3	LOC6538460
qry::NC_052530.2	5628	5814	rna-XM_015193371.3	LOC26535571
qry::NC_052530.2	6238	6424	rna-XM_039375703.1	LOC120321788
qry::NC_052530.2	7033	11026	rna-XR_005561509.2	LOC120321789
