seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	553	rna-NM_138025.3	Rsph4a
ref::NT_033778.4	555	2796	rna-NM_166647.3	CG3907
ref::NT_033778.4	555	2955	rna-NM_138026.4	CG3907
ref::NT_033778.4	3000	4638	rna-NM_138027.3	Xxylt
ref::NT_033778.4	4755	6434	rna-NR_124720.1	asRNA:CR45350
ref::NT_033778.4	4864	6534	rna-NM_079112.4	Ak2
ref::NT_033778.4	6829	8175	rna-NM_001299879.1	EbpIII
ref::NT_033778.4	7203	8175	rna-NM_080227.2	EbpIII
ref::NT_033778.4	7340	8175	rna-NM_001299880.1	EbpIII
ref::NT_033778.4	8374	9446	rna-NM_001299881.1	HSPC300
ref::NT_033778.4	8609	9446	rna-NM_166648.3	HSPC300
ref::NT_033778.4	9974	11212	rna-NM_138028.2	CG3163
ref::NT_033778.4	11203	12084	rna-NM_001299882.1	CG30172
ref::NT_033778.4	11303	11859	rna-NM_166649.2	CG30172
ref::NT_033778.4	12195	14425	rna-NM_166650.2	Chi
ref::NT_033778.4	12195	14600	rna-NM_057734.4	Chi
qry::NC_052528.2	0	532	rna-XM_039372568.1	LOC6531955
qry::NC_052528.2	529	2764	rna-XM_002092706.3	LOC6531956
qry::NC_052528.2	529	2766	rna-XM_015196151.2	LOC6531956
qry::NC_052528.2	3000	4639	rna-XM_002092707.3	LOC6531957
qry::NC_052528.2	4892	6500	rna-XM_002092708.4	LOC6531958
qry::NC_052528.2	7066	8122	rna-XM_002092709.3	LOC6531959
qry::NC_052528.2	8518	9549	rna-XM_002092710.3	LOC6531960
qry::NC_052528.2	10097	11347	rna-XM_002092711.3	LOC6531961
qry::NC_052528.2	11436	11933	rna-XM_002092712.3	LOC6531962
qry::NC_052528.2	12233	14677	rna-XM_002092713.3	LOC6531963
