seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	7434	rna-NM_079825.2	dmrt99B
ref::NT_033777.3	23687	24087	rna-NR_125292.1	lncRNA:CR45569
ref::NT_033777.3	24914	25413	rna-NM_143455.2	Obp99d
ref::NT_033777.3	25477	25786	rna-NM_001260430.1	Dup99B
ref::NT_033777.3	25477	25786	rna-NM_206582.2	Dup99B
ref::NT_033777.3	26663	27236	rna-NM_143456.3	Obp99b
ref::NT_033777.3	26663	27305	rna-NM_001276149.1	Obp99b
ref::NT_033777.3	29072	32797	rna-NM_143457.2	CG15506
ref::NT_033777.3	30122	31600	rna-NR_133479.1	lncRNA:CR46108
qry::NC_052523.2	3000	7663	rna-XM_039295940.2	LOC6730079
qry::NC_052523.2	24690	25718	rna-XM_016177779.3	LOC27206491
qry::NC_052523.2	25639	25971	rna-XM_002105338.4	LOC6730081
qry::NC_052523.2	26885	27468	rna-XM_002105339.4	LOC6730082
qry::NC_052523.2	29192	32951	rna-XM_044923330.1	LOC6730083
qry::NC_052523.2	29206	32951	rna-XM_016177780.3	LOC6730083
