seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	23825	rna-NM_206288.4	CG42458
ref::NT_037436.4	1870	4298	rna-NM_001274588.2	Rac2
ref::NT_037436.4	3000	4298	rna-NM_139864.3	Rac2
ref::NT_037436.4	5916	6574	rna-NM_139865.2	CG14835
ref::NT_037436.4	7529	8513	rna-NM_168214.2	sphinx1
ref::NT_037436.4	8662	9841	rna-NM_001316479.1	sphinx2
ref::NT_037436.4	8807	9841	rna-NM_168215.2	sphinx2
ref::NT_037436.4	19961	21267	rna-NM_206289.2	CG33278
ref::NT_037436.4	25257	27716	rna-NM_139868.3	ppk26
qry::NC_052529.2	0	24514	rna-XM_002094013.3	LOC6533323
qry::NC_052529.2	3000	5603	rna-XM_002094010.4	LOC6533320
qry::NC_052529.2	7308	8164	rna-XM_002094011.4	LOC6533321
qry::NC_052529.2	9138	10168	rna-XM_002094012.4	LOC6533322
qry::NC_052529.2	20499	21972	rna-XM_002094014.4	LOC6533324
qry::NC_052529.2	20500	21972	rna-XM_039373710.2	LOC6533324
qry::NC_052529.2	25899	28264	rna-XM_002094016.3	LOC6533326
