TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
FBtr0005088	2	46	0	30	591	0.0000	1	0.5205 
FBtr0005673	103	132	25	57	1252	1.7791	-0.7791	0.0370 
FBtr0005674	98	132	23	57	1232	1.8399	-0.8399	0.0332 
FBtr0006151	8	21	3	20	272	2.5397	-1.5397	0.3081 
FBtr0070000	14	131	6	54	786	0.9618	0.0382	1.0000 
FBtr0070002	18	21	10	16	203	1.3714	-0.3714	0.6141 
FBtr0070006	11	43	5	20	438	1.0233	-0.0233000000000001	1.0000 
FBtr0070007	6	18	8	15	312	0.6250	0.375	0.5343 
FBtr0070008	4	16	13	15	270	0.2885	0.7115	0.0736 
FBtr0070025	8	17	3	21	321	3.2941	-2.2941	0.1706 
FBtr0070026	20	34	9	32	543	2.0915	-1.0915	0.1234 
FBtr0070027	16	23	151	37	515	0.1705	0.8295	0.0000 
FBtr0070028	0	13	0	14	201	0.0000	1	1.0000 
FBtr0070032	20	23	8	13	253	1.4130	-0.413	0.5979 
FBtr0070033	4	45	1	15	461	1.3333	-0.3333	1.0000 
FBtr0070034	531	246	0	11	402	0.0000	1	0.0000 
FBtr0070035	22	37	47	39	283	0.4934	0.5066	0.0440 
FBtr0070036	5	3	1	3	49	5.0000	-4	0.5455 
FBtr0070042	0	5	0	23	337	0.0000	1	1.0000 
FBtr0070043	0	5	0	23	337	0.0000	1	1.0000 
FBtr0070044	0	5	0	23	337	0.0000	1	1.0000 
FBtr0070058	17	42	17	54	924	1.2857	-0.2857	0.5534 
FBtr0070059	17	42	17	54	924	1.2857	-0.2857	0.5534 
FBtr0070060	17	42	17	54	924	1.2857	-0.2857	0.5534 
FBtr0070061	17	42	17	54	924	1.2857	-0.2857	0.5534 
FBtr0070062	17	42	17	54	924	1.2857	-0.2857	0.5534 
FBtr0070063	19	28	63	99	1633	1.0663	-0.0663	0.8665 
FBtr0070064	9	14	26	50	601	1.2363	-0.2363	0.8039 
FBtr0070065	9	14	26	50	601	1.2363	-0.2363	0.8039 
FBtr0070066	12	14	28	44	878	1.3469	-0.3469	0.6423 
FBtr0070067	12	14	28	44	878	1.3469	-0.3469	0.6423 
FBtr0070068	12	14	28	44	878	1.3469	-0.3469	0.6423 
FBtr0070069	0	1	0	11	195	0.0000	1	1.0000 
FBtr0070070	13	4	18	35	392	6.3194	-5.3194	0.0041 
FBtr0070071	359	165	161	73	490	0.9865	0.0135	1.0000 
FBtr0070072	1	3	4	15	200	1.2500	-0.25	1.0000 
FBtr0070073	9	12	8	22	345	2.0625	-1.0625	0.2465 
FBtr0070074	5	7	5	7	257	1.0000	0	1.0000 
FBtr0070075	13	22	10	21	486	1.2409	-0.2409	0.7973 
FBtr0070076	5	3	12	9	124	1.2500	-0.25	1.0000 
FBtr0070079	8	25	15	51	693	1.0880	-0.0880000000000001	1.0000 
FBtr0070080	1	4	2	2	127	0.2500	0.75	0.5238 
FBtr0070081	22	39	30	99	1406	1.8615	-0.8615	0.0813 
FBtr0070083	19	32	26	87	1258	1.9868	-0.9868	0.0879 
FBtr0070084	22	41	33	98	1404	1.5935	-0.5935	0.1758 
FBtr0070085	7	17	8	32	433	1.6471	-0.6471	0.5434 
FBtr0070086	7	15	5	33	435	3.0800	-2.08	0.1022 
FBtr0070087	21	42	27	105	1439	1.9444	-0.9444	0.0745 
FBtr0070088	6	9	6	16	351	1.7778	-0.7778	0.4879 
FBtr0070089	6	12	12	36	441	1.5000	-0.5	0.5432 
FBtr0070090	6	12	12	36	441	1.5000	-0.5	0.5432 
FBtr0070091	1	17	0	35	483	0.0000	1	0.3396 
FBtr0070092	3	22	2	32	520	2.1818	-1.1818	0.6414 
FBtr0070093	3	22	2	32	510	2.1818	-1.1818	0.6414 
FBtr0070094	64	49	71	101	1373	1.8580	-0.858	0.0151 
FBtr0070098	8	33	9	56	1047	1.5084	-0.5084	0.5877 
FBtr0070099	1	15	0	35	556	0.0000	1	0.3137 
FBtr0070100	15	10	18	21	407	1.7500	-0.75	0.3150 
FBtr0070101	6	7	23	29	374	1.0807	-0.0807	1.0000 
FBtr0070102	6	7	23	29	374	1.0807	-0.0807	1.0000 
FBtr0070103	1	6	1	21	306	3.5000	-2.5	0.4310 
FBtr0070106	5	6	4	25	330	5.2083	-4.2083	0.0834 
FBtr0070107	4	5	14	20	359	1.1429	-0.1429	1.0000 
FBtr0070108	4	7	15	24	389	0.9143	0.0857	1.0000 
FBtr0070109	17	35	5	46	887	4.4686	-3.4686	0.0073 
FBtr0070110	13	46	7	55	723	2.2205	-1.2205	0.1436 
FBtr0070115	12	18	15	30	304	1.3333	-0.3333	0.6270 
FBtr0070116	9	15	9	36	467	2.4000	-1.4	0.1523 
FBtr0070117	9	15	9	35	448	2.3333	-1.3333	0.1563 
FBtr0070118	9	15	9	36	467	2.4000	-1.4	0.1523 
FBtr0070119	44	58	63	56	1131	0.6743	0.3257	0.1771 
FBtr0070120	31	41	67	79	1315	0.8915	0.1085	0.7725 
FBtr0070121	17	15	21	26	408	1.4032	-0.4032	0.4986 
FBtr0070122	0	1	0	8	108	0.0000	1	1.0000 
FBtr0070123	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070124	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070125	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070126	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070127	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070128	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070129	0	7	0	13	162	0.0000	1	1.0000 
FBtr0070130	553	286	214	116	2081	1.0481	-0.0481	0.7328 
FBtr0070131	553	286	214	116	2089	1.0481	-0.0481	0.7328 
FBtr0070132	553	286	214	116	2081	1.0481	-0.0481	0.7328 
FBtr0070133	553	286	214	116	2081	1.0481	-0.0481	0.7328 
FBtr0070134	5	18	5	23	307	1.2778	-0.2778	0.7389 
FBtr0070135	19	20	14	30	469	2.0357	-1.0357	0.1772 
FBtr0070136	19	20	14	30	469	2.0357	-1.0357	0.1772 
FBtr0070137	19	20	14	30	469	2.0357	-1.0357	0.1772 
FBtr0070138	18	34	13	36	581	1.4661	-0.4661	0.3976 
FBtr0070139	18	45	28	62	765	0.8857	0.1143	0.8581 
FBtr0070140	30	47	35	72	940	1.3131	-0.3131	0.4353 
FBtr0070141	1	9	1	14	211	1.5556	-0.5556	1.0000 
FBtr0070142	9	10	13	9	119	0.6231	0.3769	0.5379 
FBtr0070145	31	14	72	40	407	1.2302	-0.2302	0.7106 
FBtr0070146	2	36	24	65	845	0.1505	0.8495	0.0042 
FBtr0070147	4	34	3	29	421	1.1373	-0.1373	1.0000 
FBtr0070148	10	13	20	21	288	0.8077	0.1923	0.7958 
FBtr0070149	17	20	18	34	473	1.6056	-0.6056	0.3788 
FBtr0070150	14	16	24	19	319	0.6927	0.3073	0.4826 
FBtr0070151	26	29	34	91	1297	2.3996	-1.3996	0.0103 
FBtr0070155	1	4	0	4	115	0.0000	1	1.0000 
FBtr0070156	1	4	0	4	115	0.0000	1	1.0000 
FBtr0070157	1	4	0	4	115	0.0000	1	1.0000 
FBtr0070158	1	4	0	4	115	0.0000	1	1.0000 
FBtr0070159	0	3	0	7	64	0.0000	1	1.0000 
FBtr0070160	3	6	2	10	114	2.5000	-1.5	0.6108 
FBtr0070161	16	26	9	53	950	3.6239	-2.6239	0.0094 
FBtr0070163	13	22	15	21	254	0.8273	0.1727	0.8092 
FBtr0070164	4	11	9	13	142	0.5253	0.4747	0.4908 
FBtr0070165	2	10	1	11	143	2.2000	-1.2	1.0000 
FBtr0070167	3	36	1	19	366	1.5833	-0.5833	1.0000 
FBtr0070168	3	36	1	19	366	1.5833	-0.5833	1.0000 
FBtr0070169	3	36	1	19	366	1.5833	-0.5833	1.0000 
FBtr0070170	20	38	15	31	426	1.0877	-0.0876999999999999	1.0000 
FBtr0070171	8	9	38	14	106	0.3275	0.6725	0.0743 
FBtr0070172	6	3	10	17	128	3.4000	-2.4	0.1461 
FBtr0070173	11	23	8	26	390	1.5543	-0.5543	0.5896 
FBtr0070174	18	14	16	5	182	0.4018	0.5982	0.1581 
FBtr0070175	19	18	15	38	405	2.6741	-1.6741	0.0300 
FBtr0070176	37	57	32	74	962	1.5011	-0.5011	0.1832 
FBtr0070177	11	9	19	8	176	0.5146	0.4854	0.3617 
FBtr0070178	11	9	19	8	176	0.5146	0.4854	0.3617 
FBtr0070179	10	17	7	21	316	1.7647	-0.7647	0.3911 
FBtr0070180	2	8	25	16	141	0.1600	0.84	0.0326 
FBtr0070181	4	32	0	39	563	0.0000	1	0.0485 
FBtr0070182	5	40	5	33	575	0.8250	0.175	1.0000 
FBtr0070183	14	30	15	17	383	0.5289	0.4711	0.2337 
FBtr0070184	4	6	16	6	107	0.2500	0.75	0.1190 
FBtr0070185	16	44	18	37	556	0.7475	0.2525	0.5420 
FBtr0070186	7	19	0	9	251	0.0000	1	0.1530 
FBtr0070187	24	49	20	49	711	1.2000	-0.2	0.7171 
FBtr0070188	16	37	14	27	382	0.8340	0.166	0.8238 
FBtr0070189	29	50	20	33	444	0.9570	0.043	1.0000 
FBtr0070191	12	63	9	45	973	0.9524	0.0476	1.0000 
FBtr0070195	7	7	4	4	83	1.0000	0	1.0000 
FBtr0070197	10	29	5	23	313	1.5862	-0.5862	0.5584 
FBtr0070198	6	15	5	16	201	1.2800	-0.28	1.0000 
FBtr0070199	19	20	10	19	270	1.8050	-0.805	0.3226 
FBtr0070200	33	28	11	26	342	2.7857	-1.7857	0.0222 
FBtr0070201	22	35	14	18	563	0.8082	0.1918	0.6587 
FBtr0070202	56	51	16	47	754	3.2255	-2.2255	0.0007 
FBtr0070203	401	174	17	18	436	2.4402	-1.4402	0.0137 
FBtr0070204	16	8	16	16	214	2.0000	-1	0.2785 
FBtr0070205	23	29	13	30	500	1.8302	-0.8302	0.2040 
FBtr0070206	7	12	8	15	222	1.0938	-0.0937999999999999	1.0000 
FBtr0070207	164	117	99	153	2116	2.1663	-1.1663	0.0000 
FBtr0070208	25	13	19	23	382	2.3279	-1.3279	0.0758 
FBtr0070209	23	14	19	24	377	2.0752	-1.0752	0.1222 
FBtr0070210	25	14	22	26	401	2.1104	-1.1104	0.1297 
FBtr0070211	2	10	2	22	244	2.2000	-1.2	0.5877 
FBtr0070212	23	22	17	66	771	4.0588	-3.0588	0.0006 
FBtr0070213	0	6	2	12	151	0.0000	1	1.0000 
FBtr0070215	5	16	3	20	442	2.0833	-1.0833	0.4485 
FBtr0070216	3	28	0	33	582	0.0000	1	0.1079 
FBtr0070217	3	28	0	33	582	0.0000	1	0.1079 
FBtr0070218	3	28	0	33	582	0.0000	1	0.1079 
FBtr0070219	9	30	17	41	508	0.7235	0.2765	0.6409 
FBtr0070222	9	30	17	41	508	0.7235	0.2765	0.6409 
FBtr0070225	3	22	1	22	439	3.0000	-2	0.6099 
FBtr0070230	32	46	44	98	1072	1.5494	-0.5494	0.1413 
FBtr0070231	29	22	57	55	470	1.2719	-0.2719	0.5030 
FBtr0070233	4	7	2	9	158	2.5714	-1.5714	0.6351 
FBtr0070234	2	10	5	26	291	1.0400	-0.04	1.0000 
FBtr0070235	14	35	4	61	712	6.1000	-5.1	0.0016 
FBtr0070236	16	42	14	47	611	1.2789	-0.2789	0.6736 
FBtr0070237	6	23	8	19	287	0.6196	0.3804	0.5423 
FBtr0070238	41	91	18	93	1272	2.3278	-1.3278	0.0103 
FBtr0070239	6	91	2	81	1147	2.6703	-1.6703	0.2902 
