seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	2891	rna-NM_206692.3	CkIIbeta
ref::NC_004354.4	0	154	rna-NM_001258700.2	CkIIbeta
ref::NC_004354.4	3000	6425	rna-NM_001298210.1	Hsc70-3
ref::NC_004354.4	3000	6668	rna-NM_167307.2	Hsc70-3
ref::NC_004354.4	3000	7657	rna-NM_167306.2	Hsc70-3
ref::NC_004354.4	3000	7657	rna-NM_167308.2	Hsc70-3
ref::NC_004354.4	3000	8421	rna-NM_078577.3	Hsc70-3
ref::NC_004354.4	9810	17855	rna-NM_001298212.1	CG1578
ref::NC_004354.4	10659	17047	rna-NM_001298211.1	CG1578
ref::NC_004354.4	10659	17855	rna-NM_132521.3	CG1578
ref::NC_004354.4	18202	34695	rna-NM_132522.3	rudhira
ref::NC_004354.4	18202	35690	rna-NM_001258703.2	rudhira
ref::NC_004354.4	18202	35690	rna-NM_001382106.1	rudhira
ref::NC_004354.4	18202	37030	rna-NM_167309.3	rudhira
ref::NC_004354.4	18202	38764	rna-NM_001258702.1	rudhira
ref::NC_004354.4	19641	37030	rna-NM_001272534.1	rudhira
qry::NC_052525.2	0	155	rna-XM_016173780.3	LOC6725716
qry::NC_052525.2	0	3890	rna-XM_016173779.3	LOC6725716
qry::NC_052525.2	3000	6740	rna-XM_016172718.3	LOC6725717
qry::NC_052525.2	3000	7730	rna-XM_016172716.3	LOC6725717
qry::NC_052525.2	3000	8428	rna-XM_016172717.3	LOC6725717
qry::NC_052525.2	6877	7595	rna-XR_006542055.1	LOC123327352
qry::NC_052525.2	10967	17404	rna-XM_039297045.2	LOC6725719
qry::NC_052525.2	10967	17723	rna-XM_016172714.3	LOC6725719
qry::NC_052525.2	10967	17724	rna-XM_016172715.3	LOC6725719
qry::NC_052525.2	10967	18983	rna-XM_039297046.2	LOC6725719
qry::NC_052525.2	18985	35457	rna-XM_039297043.2	LOC27208139
qry::NC_052525.2	18985	37294	rna-XM_039297044.2	LOC27208139
