seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	624	1918	rna-NM_137699.5	Cht9
ref::NT_033778.4	892	2077	rna-NR_124673.1	asRNA:CR44703
ref::NT_033778.4	3000	5421	rna-NM_137700.4	CG10527
ref::NT_033778.4	3381	4527	rna-NR_124674.1	asRNA:CR44704
ref::NT_033778.4	6650	21577	rna-NM_166422.2	Treh
ref::NT_033778.4	8297	20858	rna-NM_001274186.1	Treh
ref::NT_033778.4	9085	20858	rna-NM_080082.3	Treh
ref::NT_033778.4	9472	20858	rna-NM_166421.2	Treh
ref::NT_033778.4	13240	20858	rna-NM_166423.3	Treh
ref::NT_033778.4	13240	20858	rna-NM_166425.2	Treh
ref::NT_033778.4	16967	20858	rna-NM_166424.2	Treh
ref::NT_033778.4	21018	23636	rna-NM_137701.3	Rbpn-5
qry::NC_052528.2	201	2840	rna-XM_002091555.4	LOC6530700
qry::NC_052528.2	3000	6938	rna-XR_005560857.1	LOC6530701
qry::NC_052528.2	3000	6939	rna-XM_039373418.1	LOC6530701
qry::NC_052528.2	3000	10614	rna-XM_015196373.2	LOC6530701
qry::NC_052528.2	3000	14309	rna-XR_005560858.1	LOC6530701
qry::NC_052528.2	3000	14311	rna-XM_039373419.1	LOC6530701
qry::NC_052528.2	18546	21059	rna-XM_002091557.3	LOC6530702
qry::NC_052528.2	22130	23510	rna-XM_039372292.1	LOC120321040
