seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	28372	rna-NM_001274059.1	igl
ref::NT_033778.4	0	28372	rna-NM_057712.5	igl
ref::NT_033778.4	3000	28372	rna-NM_057713.5	igl
ref::NT_033778.4	23238	24032	rna-NM_001259406.2	CG43068
ref::NT_033778.4	30708	31308	rna-NM_001169686.2	Sfp51E
ref::NT_033778.4	32076	32585	rna-NM_001274060.1	CG43829
ref::NT_033778.4	37145	39280	rna-NM_137172.4	GPHR
ref::NT_033778.4	39333	42546	rna-NM_001274061.2	CG11807
ref::NT_033778.4	39333	42546	rna-NM_001274062.2	CG11807
ref::NT_033778.4	39587	42546	rna-NM_137173.5	CG11807
ref::NT_033778.4	40273	41067	rna-NM_001144199.1	CG42391
ref::NT_033778.4	42734	44414	gene-Dmel_CR12953	Ir51a
ref::NT_033778.4	44607	51714	rna-NM_001274063.2	row
ref::NT_033778.4	44607	51714	rna-NM_137175.4	row
qry::NC_052521.2	2871	28187	rna-XM_039292700.2	LOC6734584
qry::NC_052521.2	2873	28187	rna-XR_006541520.1	LOC6734584
qry::NC_052521.2	2960	36554	rna-XM_039292699.2	LOC6734584
qry::NC_052521.2	3000	37922	rna-XM_039292698.2	LOC6734584
qry::NC_052521.2	32624	33511	rna-XM_016184248.3	LOC27208685
qry::NC_052521.2	40230	40837	rna-XM_016183880.2	LOC27208293
qry::NC_052521.2	41770	41984	rna-XR_005543735.1	LOC27207567
qry::NC_052521.2	46667	48844	rna-XM_002081557.4	LOC6734585
qry::NC_052521.2	49099	52076	rna-XM_002081558.4	LOC6734586
qry::NC_052521.2	49099	52076	rna-XR_001599710.3	LOC6734586
qry::NC_052521.2	49749	50566	rna-XM_016184695.3	LOC27209229
qry::NC_052521.2	52193	54225	rna-XM_016168128.3	LOC27206172
qry::NC_052521.2	54233	61359	rna-XM_039292697.2	LOC6734588
