seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	562	rna-NM_135950.3	CG5888
ref::NT_033779.5	0	2601	rna-NM_001259114.2	Idgf2
ref::NT_033779.5	0	2601	rna-NM_057909.5	Idgf2
ref::NT_033779.5	1118	2601	rna-NM_001259113.2	Idgf2
ref::NT_033779.5	3000	5135	rna-NM_165158.1	Idgf3
ref::NT_033779.5	3153	5135	rna-NM_057908.4	Idgf3
ref::NT_033779.5	3153	6631	rna-NM_165157.2	Idgf3
ref::NT_033779.5	3153	7287	rna-NM_001299053.1	Idgf3
ref::NT_033779.5	18605	38091	rna-NM_001014486.3	dac
ref::NT_033779.5	18605	38091	rna-NM_001014487.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165159.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165160.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165161.3	dac
ref::NT_033779.5	18605	38091	rna-NM_165162.3	dac
ref::NT_033779.5	40241	42275	rna-NM_135951.4	Nepl8
qry::NC_052520.2	0	297	rna-XM_016178202.3	LOC6732517
qry::NC_052520.2	0	2359	rna-XM_002079603.3	LOC6732520
qry::NC_052520.2	3000	4975	rna-XM_002079604.3	LOC6732521
qry::NC_052520.2	5001	7164	rna-XM_039291268.1	LOC120284254
qry::NC_052520.2	12896	21132	rna-XM_039292960.2	LOC120284604
qry::NC_052520.2	16202	19347	rna-XM_044922443.1	LOC123327073
qry::NC_052520.2	27086	53908	rna-XM_016178197.3	LOC6732522
qry::NC_052520.2	27086	53908	rna-XM_016178198.3	LOC6732522
qry::NC_052520.2	27086	53908	rna-XM_016178199.3	LOC6732522
qry::NC_052520.2	27086	53908	rna-XM_016178200.3	LOC6732522
qry::NC_052520.2	27086	53908	rna-XM_016178201.3	LOC6732522
qry::NC_052520.2	27086	53908	rna-XM_039298518.2	LOC6732522
qry::NC_052520.2	29178	53910	rna-XM_039298519.2	LOC6732522
qry::NC_052520.2	56046	58098	rna-XM_039298525.2	LOC6732523
