seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	44450	rna-NM_078827.3	kek2
ref::NT_033779.5	3000	4400	rna-NM_001259062.1	Mst33A
ref::NT_033779.5	3000	4400	rna-NM_058117.3	Mst33A
ref::NT_033779.5	3000	4400	rna-NM_134430.2	Mst33A
ref::NT_033779.5	6143	6748	rna-NR_124201.1	lncRNA:CR44496
ref::NT_033779.5	8906	9245	rna-NM_078826.4	Acp33A
ref::NT_033779.5	28077	29339	rna-NM_135666.3	spag4
ref::NT_033779.5	62186	66406	rna-NM_001298915.1	CG6614
ref::NT_033779.5	62186	66406	rna-NM_001298916.1	CG6614
ref::NT_033779.5	62706	66406	rna-NM_135667.4	CG6614
ref::NT_033779.5	68898	69577	rna-NM_135668.2	CG12307
qry::NC_052527.2	0	45272	rna-XM_002088343.4	LOC6527285
qry::NC_052527.2	3000	4486	rna-XM_002088340.3	LOC6527282
qry::NC_052527.2	9108	9446	rna-XM_002088341.3	LOC6527283
qry::NC_052527.2	29275	30490	rna-XM_002088342.4	LOC6527284
qry::NC_052527.2	47616	48619	rna-XR_005560137.1	LOC120320607
qry::NC_052527.2	63907	66313	rna-XM_039370942.2	LOC6527286
qry::NC_052527.2	63907	67601	rna-XM_002088344.4	LOC6527286
qry::NC_052527.2	63907	67602	rna-XM_039370941.2	LOC6527286
qry::NC_052527.2	65051	67604	rna-XM_015197667.3	LOC6527286
qry::NC_052527.2	70114	70907	rna-XM_002088345.4	LOC6527287
