seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2659	rna-NM_137418.3	CG5002
ref::NT_033778.4	3000	5867	rna-NM_137419.3	Sardh
ref::NT_033778.4	6850	9962	rna-NM_057954.3	HLH54F
ref::NT_033778.4	10385	13986	rna-NM_137420.3	ACOX1
ref::NT_033778.4	14019	16515	rna-NM_001299620.1	OstDelta
ref::NT_033778.4	14019	16515	rna-NM_137421.3	OstDelta
ref::NT_033778.4	15838	15905	rna-NR_048133.1	mir-3643
ref::NT_033778.4	15850	15871	rna-gnl|FlyBase|CR43509-RB	mir-3643
ref::NT_033778.4	15884	15905	rna-gnl|FlyBase|CR43509-RA	mir-3643
ref::NT_033778.4	16310	16590	rna-NR_124602.2	asRNA:CR44416
ref::NT_033778.4	16610	17231	rna-NM_137422.3	CG14488
ref::NT_033778.4	17253	19434	rna-NM_137423.2	CG18635
qry::NC_052521.2	0	2680	rna-XM_002081942.4	LOC6734996
qry::NC_052521.2	3000	5913	rna-XM_039291599.2	LOC6734997
qry::NC_052521.2	6814	10029	rna-XM_002081945.4	LOC6734999
qry::NC_052521.2	10444	14109	rna-XM_002081946.4	LOC6735000
qry::NC_052521.2	14123	16555	rna-XM_002081947.4	LOC6735001
qry::NC_052521.2	16432	17405	rna-XM_002081948.3	LOC6735002
qry::NC_052521.2	17350	19660	rna-XM_002081949.4	LOC6735003
