GENE	TRANSCRIPT	NS_POLY	S_POLY	NS_FIX	S_FIX	codons	final_NI	alpha	final_FET
CG9806	FBtr0071506	39	57	35	88	911	1.7203	-0.7203	0.0630 
CG32833	FBtr0071990	29	41	23	21	268	0.6458	0.3542	0.3344 
CG9168	FBtr0072692	277	184	24	42	600	2.6345	-1.6345	0.0003 
CG33259	FBtr0075615	11	9	6	9	113	1.8333	-0.8333	0.4998 
lectin-21Ca	FBtr0077998	23	26	18	19	269	0.9338	0.0662	1.0000 
CG10587	FBtr0078333	9	5	11	27	276	4.4182	-3.4182	0.0276 
Sems	FBtr0078335	4	16	22	17	276	0.1932	0.8068	0.0120 
CG33290	FBtr0078370	12	1	14	9	172	7.7143	-6.7143	0.0596 
CG11131	FBtr0078558	7	10	6	19	225	2.2167	-1.2167	0.3141 
Spn28Db	FBtr0079557	37	27	51	21	347	0.5643	0.4357	0.1503 
CG14277	FBtr0079595	9	22	6	15	170	1.0227	-0.0226999999999999	1.0000 
Acp29AB	FBtr0079716	15	24	37	28	234	0.4730	0.527	0.1046 
CG9525	FBtr0079786	365	166	29	10	670	0.7582	0.2418	0.5905 
CG5731	FBtr0079959	8	65	3	29	413	1.1897	-0.1897	1.0000 
CG10651	FBtr0081378	17	20	18	28	316	1.3222	-0.3222	0.6554 
CG10029	FBtr0081591	408	191	19	31	410	3.4853	-2.4853	0.0000 
Ccp84Ad	FBtr0081690	13	29	2	11	199	2.4655	-1.4655	0.4770 
CG31418	FBtr0083432	12	10	33	28	225	1.0182	-0.0182	1.0000 
CG9997	FBtr0085314	14	35	21	14	330	0.2667	0.7333	0.0067 
Obp56f	FBtr0086328	8	1	17	10	125	4.7059	-3.7059	0.2225 
Obp56i	FBtr0086337	17	12	11	11	141	1.4167	-0.4167	0.5810 
CG15116	FBtr0086596	105	62	6	15	193	4.2339	-3.2339	0.0040 
CG34033	FBtr0100088	10	14	15	14	168	0.6667	0.3333	0.5828 
Spn53F	FBtr0110777	36	37	24	21	379	0.8514	0.1486	0.7078 
CG11598	FBtr0110781	513	241	19	31	388	3.4730	-2.473	0.0000 
CG34129	FBtr0110870	5	26	11	22	310	0.3846	0.6154	0.1519 
CG34130	FBtr0110871	25	35	19	31	295	1.1654	-0.1654	0.8452 
CG34295	FBtr0112491	26	28	34	25	288	0.6828	0.3172	0.3492 
CG34447	FBtr0112751	21	59	7	28	389	1.4237	-0.4237	0.6374 
CG12828	FBtr0112770	6	1	7	14	97	12.0000	-11	0.0286 
CG1701	FBtr0113049	7	5	13	14	134	1.5077	-0.5077	0.7311 
CG32201	FBtr0300051	662	286	33	34	521	2.3848	-1.3848	0.0009 
Sfp23F	FBtr0300295	13	7	5	9	78	3.3429	-2.3429	0.1625 
CG42467	FBtr0300303	3	13	9	6	82	0.1538	0.8462	0.0290 
Sfp26Ac	FBtr0300305	4	9	3	6	84	0.8889	0.1111	1.0000 
Sfp33A1	FBtr0300306	10	11	13	10	93	0.6993	0.3007	0.7630 
CG42471	FBtr0300307	8	5	6	5	80	1.3333	-0.3333	1.0000 
CG31016	FBtr0300962	97	68	30	36	536	1.7118	-0.7118	0.0792 
Sfp38D	FBtr0301938	5	10	21	17	169	0.4048	0.5952	0.2238 
CG42682	FBtr0302804	11	12	43	18	268	0.3837	0.6163	0.0740 
Obp56i	FBtr0303458	161	76	6	9	130	3.1776	-2.1776	0.0447 
CG42823	FBtr0303831	106	55	3	14	151	8.9939	-7.9939	0.0002 
CG11600	FBtr0303840	17	30	33	27	404	0.4636	0.5364	0.0785 
CG11608	FBtr0303841	24	23	37	35	430	0.9871	0.0129	1.0000 
CG31515	FBtr0304565	9	10	33	9	129	0.2455	0.7545	0.0198 
CG43145	FBtr0305483	66	27	8	3	73	0.9167	0.0833	1.0000 
CG43307	FBtr0306842	4	4	16	6	83	0.3750	0.625	0.3841 
CG31419	FBtr0309516	26	15	25	24	236	1.6640	-0.664	0.2880 
CG34447	FBtr0331203	21	59	7	28	389	1.4237	-0.4237	0.6374 
CG11131	FBtr0332052	7	10	6	19	225	2.2167	-1.2167	0.3141 
CG9525	FBtr0332188	117	74	69	49	652	1.1228	-0.1228	0.6344 
CG1701	FBtr0332995	7	5	13	14	134	1.5077	-0.5077	0.7311 
CG10587	FBtr0333286	10	5	12	27	289	4.5000	-3.5	0.0289 
