seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	31992	rna-NM_001103605.2	Drgx
ref::NT_033779.5	3000	32369	rna-NM_001298663.1	Drgx
ref::NT_033779.5	8232	8806	rna-NM_001169388.2	Sfp24Ba
ref::NT_033779.5	8946	9389	rna-NM_001169389.1	Sfp24Bd
ref::NT_033779.5	9516	10030	rna-NM_001169390.1	Sfp24Bb
ref::NT_033779.5	10386	10836	rna-NM_001169391.1	Sfp24Bc
ref::NT_033779.5	32378	32842	rna-NM_001298664.1	CG16704
ref::NT_033779.5	32393	32842	rna-NM_134953.4	CG16704
ref::NT_033779.5	32954	33437	rna-NM_134954.2	CG3513
ref::NT_033779.5	33439	34160	rna-NM_001258928.2	Acp24A4
ref::NT_033779.5	33734	34144	rna-NM_001042865.1	Acp24A4
ref::NT_033779.5	34360	34673	gene-Dmel_CR43364	CR43364
ref::NT_033779.5	34686	35275	rna-NM_001258929.2	CG43165
ref::NT_033779.5	35287	35666	rna-NM_134955.3	CG16713
qry::NC_052520.2	3000	37902	rna-XM_016179487.3	LOC6730896
qry::NC_052520.2	8193	8803	rna-XM_016184778.3	LOC27209340
qry::NC_052520.2	8972	9393	rna-XM_016179050.3	LOC6730895
qry::NC_052520.2	9519	10049	rna-XM_016184246.3	LOC27208683
qry::NC_052520.2	10405	10839	rna-XM_016184612.3	LOC27209118
qry::NC_052520.2	36333	36828	rna-XM_002078025.4	LOC6730897
qry::NC_052520.2	36923	37457	rna-XM_002078026.4	LOC6730898
qry::NC_052520.2	37705	38157	rna-XM_016179049.3	LOC6730899
qry::NC_052520.2	38981	39447	rna-XM_016183983.3	LOC27208402
qry::NC_052520.2	39586	40003	rna-XM_002078028.4	LOC6730900
qry::NC_052520.2	40567	41012	rna-XM_002078029.4	LOC6730901
