seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	983	2395	rna-NM_139753.2	CG10477
ref::NT_037436.4	1305	2395	rna-NM_001316456.1	CG10477
ref::NT_037436.4	3000	3959	rna-NM_079220.2	yip7
ref::NT_037436.4	4274	4699	rna-NR_124806.1	lncRNA:CR43952
ref::NT_037436.4	4895	5972	rna-NM_139754.2	CG6462
ref::NT_037436.4	6939	7919	rna-NM_139755.3	Jon65Aiv
ref::NT_037436.4	18541	19474	rna-NM_139756.3	Jon65Aiii
ref::NT_037436.4	20105	20999	rna-NM_139757.2	Jon65Aii
ref::NT_037436.4	21277	22227	rna-NM_001300022.1	Jon65Ai
ref::NT_037436.4	21368	22227	rna-NM_139758.2	Jon65Ai
ref::NT_037436.4	22920	24623	rna-NM_080043.3	tant
ref::NT_037436.4	22920	24786	rna-NM_001274531.1	tant
qry::NC_052529.2	0	843	rna-XM_002093828.3	LOC6533138
qry::NC_052529.2	1232	2192	rna-XM_002093829.3	LOC6533139
qry::NC_052529.2	3000	3946	rna-XM_002093830.3	LOC6533140
qry::NC_052529.2	4071	6361	rna-XM_002093831.3	LOC6533141
qry::NC_052529.2	4071	6361	rna-XM_039373931.1	LOC6533141
qry::NC_052529.2	7184	8160	rna-XM_002093832.3	LOC6533142
qry::NC_052529.2	11527	12533	rna-XR_005561104.2	LOC120321474
qry::NC_052529.2	16487	17426	rna-XM_002093833.4	LOC6533143
qry::NC_052529.2	17785	18678	rna-XM_002093834.2	LOC6533144
qry::NC_052529.2	20310	21167	rna-XM_002093835.4	LOC6533145
qry::NC_052529.2	21816	23682	rna-XM_002093836.4	LOC6533146
