seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2093	rna-NR_073846.1	asRNA:CR44169
ref::NT_033778.4	0	2093	rna-NR_073847.1	asRNA:CR44169
ref::NT_033778.4	0	646	rna-NM_206033.2	Spn42Da
ref::NT_033778.4	0	932	rna-NM_206034.2	Spn42Da
ref::NT_033778.4	0	646	rna-NM_206032.2	Spn42Da
ref::NT_033778.4	0	646	rna-NM_206035.2	Spn42Da
ref::NT_033778.4	0	646	rna-NM_206036.2	Spn42Da
ref::NT_033778.4	0	932	rna-NM_165495.4	Spn42Da
ref::NT_033778.4	0	932	rna-NM_206037.3	Spn42Da
ref::NT_033778.4	0	932	rna-NM_206038.3	Spn42Da
ref::NT_033778.4	0	932	rna-NM_206039.3	Spn42Da
ref::NT_033778.4	0	646	rna-NM_165496.3	Spn42Da
ref::NT_033778.4	0	932	rna-NM_080216.3	Spn42Da
ref::NT_033778.4	1290	2775	rna-NM_001273817.1	Spn42Db
ref::NT_033778.4	1290	2775	rna-NM_136400.3	Spn42Db
ref::NT_033778.4	3000	5412	rna-NM_001259225.2	Spn42Dc
ref::NT_033778.4	3653	5412	rna-NM_136401.5	Spn42Dc
ref::NT_033778.4	5285	6878	rna-NM_001169596.3	Spn42Dd
ref::NT_033778.4	7557	10267	rna-NM_001259226.2	Spn42De
ref::NT_033778.4	8398	10267	rna-NM_136402.4	Spn42De
ref::NT_033778.4	13765	44618	rna-NM_144058.3	CG30158
ref::NT_033778.4	45371	46686	rna-NM_136404.4	CG3358
ref::NT_033778.4	45371	46934	rna-NM_001259227.2	CG3358
ref::NT_033778.4	45451	46686	rna-NM_165497.3	CG3358
ref::NT_033778.4	46692	93642	rna-NM_001273819.1	mim
ref::NT_033778.4	47707	93642	rna-NM_001014500.3	mim
ref::NT_033778.4	47707	93642	rna-NM_001201941.2	mim
ref::NT_033778.4	48024	93642	rna-NM_001103735.3	mim
ref::NT_033778.4	48024	93642	rna-NM_001169597.2	mim
ref::NT_033778.4	48024	93642	rna-NM_001201939.3	mim
ref::NT_033778.4	48024	93642	rna-NM_001201940.3	mim
ref::NT_033778.4	48024	93642	rna-NM_001259228.2	mim
ref::NT_033778.4	48024	93642	rna-NM_001259229.2	mim
ref::NT_033778.4	48024	93642	rna-NM_001259230.2	mim
ref::NT_033778.4	48024	93642	rna-NM_001273818.1	mim
ref::NT_033778.4	48024	93642	rna-NM_001273820.1	mim
ref::NT_033778.4	48024	93642	rna-NM_001273821.1	mim
qry::NC_052527.2	0	714	rna-XM_015198931.3	LOC6528336
qry::NC_052527.2	0	714	rna-XR_006245126.1	LOC6528336
qry::NC_052527.2	0	714	rna-XM_015198926.2	LOC6528336
