seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	957	rna-NM_134751.3	CG5556
ref::NT_033779.5	0	957	rna-NM_001298630.1	CG5556
ref::NT_033779.5	1059	2198	rna-NM_134752.2	CG5561
ref::NT_033779.5	2190	3008	rna-NM_164414.3	CG31924
ref::NT_033779.5	3000	4013	rna-NM_134754.3	CG5565
ref::NT_033779.5	7014	7879	rna-NM_001169381.2	CG31659
ref::NT_033779.5	7014	7879	rna-NM_164415.3	CG31659
ref::NT_033779.5	7926	9910	rna-NM_001298631.1	NLaz
ref::NT_033779.5	8072	9824	rna-NM_001272938.2	NLaz
ref::NT_033779.5	8072	9824	rna-NM_175946.2	NLaz
ref::NT_033779.5	16085	17139	rna-NM_164416.2	CG14346
ref::NT_033779.5	16178	17139	rna-NM_001298632.1	CG14346
ref::NT_033779.5	16178	17139	rna-NM_134755.3	CG14346
qry::NC_052527.2	0	871	rna-XM_039370585.1	LOC6526416
qry::NC_052527.2	0	992	rna-XM_002087499.4	LOC6526416
qry::NC_052527.2	1035	2098	rna-XM_002087500.4	LOC6526417
qry::NC_052527.2	2179	2985	rna-XM_002087501.4	LOC6526418
qry::NC_052527.2	3000	4056	rna-XM_002087502.4	LOC6526419
qry::NC_052527.2	7129	8137	rna-XM_002087503.3	LOC6526420
qry::NC_052527.2	8213	10030	rna-XM_002087504.3	LOC6526421
qry::NC_052527.2	16426	17402	rna-XM_039371126.2	LOC6526422
