seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1743	rna-NM_142904.4	CG10184
ref::NT_033777.3	1999	65907	rna-NM_001144629.3	CG31145
ref::NT_033777.3	1999	65907	rna-NM_001144631.2	CG31145
ref::NT_033777.3	1999	65907	rna-NM_001369999.1	CG31145
ref::NT_033777.3	3000	65907	rna-NM_170079.4	CG31145
ref::NT_033777.3	3000	65907	rna-NM_176547.3	CG31145
ref::NT_033777.3	3479	65907	rna-NM_001144630.2	CG31145
ref::NT_033777.3	73606	74669	rna-NM_142908.3	GILT3
ref::NT_033777.3	75143	76103	rna-NM_142909.4	GILT2
ref::NT_033777.3	76287	78565	rna-NM_079739.4	eIF3d1
ref::NT_033777.3	78751	80228	rna-NM_142910.3	CG16710
ref::NT_033777.3	80305	82785	rna-NM_144395.5	CG18754
ref::NT_033777.3	80596	82245	rna-NM_001275948.1	CG18754
ref::NT_033777.3	82503	84395	rna-NM_142911.4	SPE
qry::NC_052523.2	0	2806	rna-XM_016174858.2	LOC6729252
qry::NC_052523.2	3000	29445	rna-XM_016174856.2	LOC6729253
qry::NC_052523.2	3000	29445	rna-XM_039295908.1	LOC6729253
qry::NC_052523.2	29572	66703	rna-XR_006541837.1	LOC120285080
qry::NC_052523.2	74096	75265	rna-XM_002104538.4	LOC6729254
qry::NC_052523.2	75751	76781	rna-XM_002104539.4	LOC6729255
qry::NC_052523.2	76927	79218	rna-XM_002104540.3	LOC6729256
qry::NC_052523.2	79360	80769	rna-XM_002104541.4	LOC6729257
qry::NC_052523.2	80867	82253	rna-XM_016177335.3	LOC6729258
qry::NC_052523.2	83054	84969	rna-XM_002104543.4	LOC6729259
qry::NC_052523.2	83055	84969	rna-XM_016177336.3	LOC6729259
