seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	19871	rna-NM_168153.2	PVRAP
ref::NT_037436.4	3000	4575	rna-NM_139750.2	alphaKap4
ref::NT_037436.4	26753	28165	rna-NM_139753.2	CG10477
ref::NT_037436.4	27075	28165	rna-NM_001316456.1	CG10477
ref::NT_037436.4	28770	29729	rna-NM_079220.2	yip7
ref::NT_037436.4	30044	30469	rna-NR_124806.1	lncRNA:CR43952
ref::NT_037436.4	30665	31742	rna-NM_139754.2	CG6462
ref::NT_037436.4	32709	33689	rna-NM_139755.3	Jon65Aiv
qry::NC_052522.2	0	19935	rna-XM_016170923.3	LOC6736947
qry::NC_052522.2	0	19935	rna-XM_016170922.3	LOC6736947
qry::NC_052522.2	3000	4634	rna-XM_002083757.4	LOC6736946
qry::NC_052522.2	27080	27962	rna-XM_039293201.2	LOC6736948
qry::NC_052522.2	27981	29334	rna-XM_039293200.2	LOC120284722
qry::NC_052522.2	29768	30849	rna-XM_016170120.3	LOC6736950
qry::NC_052522.2	29768	31503	rna-XM_039293203.2	LOC6736950
qry::NC_052522.2	29768	31506	rna-XM_039293202.2	LOC6736950
qry::NC_052522.2	31416	32875	rna-XM_002083760.4	LOC6736949
qry::NC_052522.2	33309	34390	rna-XM_039293280.2	LOC120284734
qry::NC_052522.2	34821	35716	rna-XM_016170924.2	LOC6736951
qry::NC_052522.2	35771	36904	rna-XM_002083763.4	LOC6736952
qry::NC_052522.2	37464	38450	rna-XM_002083764.4	LOC6736953
qry::NC_052522.2	38551	40601	rna-XM_016170925.3	LOC6736954
qry::NC_052522.2	41413	42541	rna-XM_002083766.4	LOC6736955
