seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	3903	rna-NM_134695.3	lectin-21Cb
ref::NT_033779.5	5809	6367	rna-NR_124004.1	lncRNA:CR44797
ref::NT_033779.5	6602	7025	rna-NR_124005.1	lncRNA:CR44798
ref::NT_033779.5	7319	8258	rna-NM_144385.3	lectin-21Ca
ref::NT_033779.5	8354	10902	rna-NM_134696.3	CG2839
ref::NT_033779.5	11431	11754	rna-NR_124006.1	lncRNA:CR45369
ref::NT_033779.5	22715	97685	rna-NM_078722.3	ds
ref::NT_033779.5	23008	97685	rna-NM_001298622.1	ds
ref::NT_033779.5	93270	98009	rna-NR_124007.1	lncRNA:CR44988
qry::NC_052520.2	3000	3899	rna-XM_002077628.3	LOC6730483
qry::NC_052520.2	7252	8163	rna-XM_002077630.4	LOC6730485
qry::NC_052520.2	8303	10858	rna-XM_044923525.1	LOC123327328
qry::NC_052520.2	22548	88340	rna-XM_039298494.2	LOC6730487
