seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	523	rna-NM_169377.2	RpL3
ref::NT_033777.3	0	2424	rna-NM_079592.3	RpL3
ref::NT_033777.3	0	2424	rna-NM_169380.2	RpL3
ref::NT_033777.3	0	2653	rna-NM_169378.2	RpL3
ref::NT_033777.3	0	509	rna-NR_037759.1	asRNA:CR31144
ref::NT_033777.3	321	404	rna-NR_003893.1	snoRNA:Me18S-A425
ref::NT_033777.3	1051	1270	rna-NR_002496.2	snoRNA:Psi28S-291
ref::NT_033777.3	1788	1880	rna-NR_003894.1	snoRNA:Me28S-G2017
ref::NT_033777.3	3000	3962	rna-NM_141796.2	scpr-C
ref::NT_033777.3	3000	4161	rna-NM_001300353.1	scpr-C
ref::NT_033777.3	4242	5707	rna-NM_141797.4	CG17726
ref::NT_033777.3	5638	8080	rna-NM_141798.3	GCC88
ref::NT_033777.3	8097	9359	rna-NM_141799.2	CG17187
ref::NT_033777.3	9392	10019	rna-NM_141800.2	Dph3
ref::NT_033777.3	9909	12493	rna-NM_141801.3	Arfip
qry::NC_052530.2	0	1178	rna-XM_002097147.3	LOC6536607
qry::NC_052530.2	1750	2735	rna-XM_002097148.3	LOC6536612
qry::NC_052530.2	2721	4507	rna-XM_015192369.3	LOC6536613
qry::NC_052530.2	3000	4507	rna-XM_002097149.4	LOC6536613
qry::NC_052530.2	4443	6856	rna-XM_002097150.3	LOC6536614
qry::NC_052530.2	6746	8365	rna-XM_002097151.4	LOC6536615
qry::NC_052530.2	8416	9064	rna-XM_002097152.4	LOC6536616
qry::NC_052530.2	9040	11382	rna-XM_002097153.3	LOC6536617
qry::NC_052530.2	11669	12580	rna-XM_002097154.4	LOC6536618
qry::NC_052530.2	12894	14182	rna-XM_002097155.4	LOC6536619
qry::NC_052530.2	14322	15659	rna-XR_006245216.1	LOC6536620
qry::NC_052530.2	14325	16734	rna-XM_002097156.4	LOC6536620
qry::NC_052530.2	16657	17634	rna-XM_002097157.3	LOC6536621
qry::NC_052530.2	17789	18760	rna-XM_002097158.4	LOC6536622
qry::NC_052530.2	18822	20702	rna-XM_002097159.4	LOC6536623
