seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	4667	rna-NM_001299589.1	Amy-p
ref::NT_033778.4	3073	4667	rna-NM_080421.4	Amy-p
ref::NT_033778.4	5459	9000	rna-NR_124590.1	asRNA:CR45272
ref::NT_033778.4	7262	8601	rna-NM_001043088.2	Spn53F
ref::NT_033778.4	9128	10733	rna-NM_079044.2	Amy-d
ref::NT_033778.4	10774	11387	rna-NM_137347.3	CG15605
ref::NT_033778.4	12844	14698	rna-NM_001299590.1	Cda9
ref::NT_033778.4	13175	14698	rna-NM_137348.4	Cda9
ref::NT_033778.4	15480	15916	rna-NM_001382129.1	CG45273
qry::NC_052521.2	0	316	rna-XM_002081834.4	LOC6734869
qry::NC_052521.2	1773	3105	rna-XR_006541655.1	LOC123327151
qry::NC_052521.2	1780	3297	rna-XR_006541654.1	LOC123327151
qry::NC_052521.2	3000	4265	rna-XM_016181744.3	LOC27206612
qry::NC_052521.2	4822	6414	rna-XM_039291298.1	LOC6734871
qry::NC_052521.2	6491	7068	rna-XM_002081837.4	LOC6734872
qry::NC_052521.2	8580	10361	rna-XM_002081838.4	LOC6734873
qry::NC_052521.2	10848	13202	rna-XM_039291299.2	LOC27208166
qry::NC_052521.2	10848	13202	rna-XM_039291300.2	LOC27208166
