seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	2940	rna-NM_079990.3	Sara
ref::NT_033778.4	3000	11357	rna-NM_001299751.1	Fkbp14
ref::NT_033778.4	3000	12607	rna-NM_001299750.1	Fkbp14
ref::NT_033778.4	3000	13043	rna-NM_001259519.2	Fkbp14
ref::NT_033778.4	3000	13043	rna-NM_057625.5	Fkbp14
ref::NT_033778.4	3000	13762	rna-NM_166452.3	Fkbp14
ref::NT_033778.4	14414	14651	rna-NM_001382134.1	CG46395
ref::NT_033778.4	14736	17565	rna-NM_137741.5	TAF1C-like
ref::NT_033778.4	17930	28558	rna-NM_166456.3	MESK2
ref::NT_033778.4	17930	28558	rna-NM_206194.2	MESK2
ref::NT_033778.4	17930	29415	rna-NM_166455.2	MESK2
ref::NT_033778.4	17930	30827	rna-NM_079080.3	MESK2
ref::NT_033778.4	17930	30827	rna-NM_166454.2	MESK2
ref::NT_033778.4	17930	30827	rna-NM_206190.2	MESK2
ref::NT_033778.4	17930	33074	rna-NM_206192.2	MESK2
ref::NT_033778.4	17930	33074	rna-NM_206193.2	MESK2
ref::NT_033778.4	21980	30827	rna-NM_206191.2	MESK2
qry::NC_052521.2	0	2952	rna-XM_039292479.2	LOC6735567
qry::NC_052521.2	0	2952	rna-XM_016168677.3	LOC6735567
qry::NC_052521.2	3000	11201	rna-XM_016181431.3	LOC6735568
qry::NC_052521.2	3000	12868	rna-XM_016181435.3	LOC6735568
qry::NC_052521.2	3000	12870	rna-XM_016181433.3	LOC6735568
qry::NC_052521.2	14314	32655	rna-XM_044922722.1	LOC6735571
qry::NC_052521.2	14538	17433	rna-XM_016181429.3	LOC6735570
qry::NC_052521.2	17638	28614	rna-XM_016168689.3	LOC6735571
qry::NC_052521.2	17638	28614	rna-XM_016168691.3	LOC6735571
qry::NC_052521.2	17638	30467	rna-XM_016168692.3	LOC6735571
qry::NC_052521.2	17638	30467	rna-XM_039292480.2	LOC6735571
qry::NC_052521.2	17638	32655	rna-XM_016168678.3	LOC6735571
qry::NC_052521.2	17638	32655	rna-XM_016168682.3	LOC6735571
qry::NC_052521.2	17638	32655	rna-XM_016168686.3	LOC6735571
qry::NC_052521.2	17638	32655	rna-XM_016168693.3	LOC6735571
qry::NC_052521.2	17639	28614	rna-XM_016168685.3	LOC6735571
qry::NC_052521.2	17639	30467	rna-XM_016168680.3	LOC6735571
qry::NC_052521.2	17639	30467	rna-XM_016168690.3	LOC6735571
qry::NC_052521.2	17639	30467	rna-XM_016168694.3	LOC6735571
qry::NC_052521.2	17639	32655	rna-XM_016168679.3	LOC6735571
qry::NC_052521.2	17639	32655	rna-XM_016168683.3	LOC6735571
qry::NC_052521.2	17639	32655	rna-XM_016168687.3	LOC6735571
qry::NC_052521.2	32567	34547	rna-XM_002082456.4	LOC6735572
qry::NC_052521.2	34737	35690	rna-XM_016181426.3	LOC6735573
