seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1564	rna-NM_167268.2	Klp10A
ref::NC_004354.4	0	1919	rna-NM_167267.2	Klp10A
ref::NC_004354.4	0	1919	rna-NM_167269.2	Klp10A
ref::NC_004354.4	0	2259	rna-NM_001298180.1	Klp10A
ref::NC_004354.4	0	2171	rna-NM_132459.4	Klp10A
ref::NC_004354.4	0	2171	rna-NM_167270.2	Klp10A
ref::NC_004354.4	3000	4830	rna-NM_001272510.1	CDK2AP1
ref::NC_004354.4	3000	4830	rna-NM_132460.3	CDK2AP1
ref::NC_004354.4	4749	6379	rna-NR_073647.1	asRNA:CR44054
ref::NC_004354.4	4903	5404	rna-NM_167271.2	ssp7
ref::NC_004354.4	5615	6197	rna-NM_001258688.2	CG15199
ref::NC_004354.4	5615	6976	rna-NM_132461.3	CG15199
ref::NC_004354.4	7682	8701	rna-NM_132462.2	CG15202
ref::NC_004354.4	7682	8896	rna-NM_001258689.1	CG15202
ref::NC_004354.4	9261	9950	rna-NM_132463.3	CG15201
ref::NC_004354.4	9993	11737	rna-NM_143712.4	Ran
ref::NC_004354.4	9993	13721	rna-NM_001298182.1	Ran
ref::NC_004354.4	10460	13721	rna-NM_167272.3	Ran
ref::NC_004354.4	10460	13857	rna-NM_001298183.1	Ran
qry::NC_052525.2	0	1454	rna-XM_016172743.3	LOC6725651
qry::NC_052525.2	0	2249	rna-XM_016172744.3	LOC6725651
qry::NC_052525.2	0	2249	rna-XM_016172742.3	LOC6725651
qry::NC_052525.2	3000	4277	rna-XM_039296487.2	LOC27206393
qry::NC_052525.2	5191	5898	rna-XM_002106624.3	LOC6725653
qry::NC_052525.2	5896	6641	rna-XM_016183308.3	LOC27207627
qry::NC_052525.2	7496	9406	rna-XM_016181074.3	LOC6740074
qry::NC_052525.2	8177	9406	rna-XM_002076919.4	LOC6740074
qry::NC_052525.2	9900	10668	rna-XM_016183279.3	LOC27207600
qry::NC_052525.2	11092	14403	rna-XM_016180827.3	LOC6740073
