seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	200	rna-NM_057859.4	cag
ref::NT_033778.4	245	3008	rna-NM_136784.4	CG12942
ref::NT_033778.4	2930	3671	rna-NM_001273948.1	ND-B14
ref::NT_033778.4	3000	3671	rna-NM_136785.3	ND-B14
ref::NT_033778.4	3817	4846	rna-NM_001273949.1	Polr2E
ref::NT_033778.4	4031	4846	rna-NM_136786.3	Polr2E
ref::NT_033778.4	9356	11349	rna-NM_001299372.1	polyph
ref::NT_033778.4	9356	11349	rna-NM_136787.2	polyph
ref::NT_033778.4	15709	16271	rna-NM_136788.1	Obp47a
ref::NT_033778.4	15709	16271	rna-NM_206088.1	Obp47a
qry::NC_052521.2	210	3613	rna-XM_016172204.3	LOC6739379
qry::NC_052521.2	3000	3564	rna-XM_002076250.4	LOC6739378
qry::NC_052521.2	4029	4851	rna-XM_002076247.4	LOC6739374
qry::NC_052521.2	9749	11809	rna-XM_002076248.4	LOC6739376
qry::NC_052521.2	9750	10516	rna-XM_016172203.3	LOC6739376
qry::NC_052521.2	9820	11810	rna-XM_016172201.3	LOC6739376
qry::NC_052521.2	9837	11810	rna-XM_016172200.3	LOC6739376
qry::NC_052521.2	10176	11810	rna-XM_016172202.3	LOC6739376
qry::NC_052521.2	16148	16865	rna-XM_002080933.3	LOC6733925
