seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	336	rna-NR_124982.1	lncRNA:CR44670
ref::NT_037436.4	737	1086	rna-NR_124983.1	lncRNA:CR44671
ref::NT_037436.4	3000	4560	rna-NM_001275085.1	CG32196
ref::NT_037436.4	3000	4560	rna-NM_168764.3	CG32196
ref::NT_037436.4	5493	6699	rna-NM_140781.4	CG4306
ref::NT_037436.4	12914	13154	rna-NM_143723.3	Met75Cb
ref::NT_037436.4	15679	15920	rna-NM_168765.2	Met75Ca
ref::NT_037436.4	18834	19215	rna-NR_124984.1	lncRNA:CR44672
qry::NC_052529.2	529	1656	rna-XR_005561062.1	LOC120321460
qry::NC_052529.2	3000	3247	rna-XM_015195030.2	LOC26534466
qry::NC_052529.2	8947	10033	rna-XM_002094866.4	LOC6534220
qry::NC_052529.2	10661	12479	rna-XM_002094867.4	LOC6534221
