seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2747	rna-NM_001300046.1	syd
ref::NT_037436.4	0	779	rna-NM_001169903.1	syd
ref::NT_037436.4	0	779	rna-NM_168245.3	syd
ref::NT_037436.4	0	2747	rna-NM_001169902.2	syd
ref::NT_037436.4	0	2747	rna-NM_001274619.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274620.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274621.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274622.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274623.1	syd
ref::NT_037436.4	0	2747	rna-NM_001274624.1	syd
ref::NT_037436.4	0	2747	rna-NM_079913.3	syd
ref::NT_037436.4	3000	3885	rna-NM_139906.3	Srp9
ref::NT_037436.4	12340	12949	rna-NM_001274625.1	CG43880
ref::NT_037436.4	14813	18190	rna-NM_139907.3	exex
ref::NT_037436.4	37215	39076	rna-NM_079242.3	RNaseX25
ref::NT_037436.4	39076	41618	rna-NM_139908.3	CG8042
ref::NT_037436.4	42065	42781	rna-NM_139909.3	HP4
ref::NT_037436.4	42065	42781	rna-NM_168247.3	HP4
ref::NT_037436.4	43033	44476	rna-NM_139910.4	CG8209
ref::NT_037436.4	44432	45277	rna-NM_139911.3	Pop4
ref::NT_037436.4	45673	116960	rna-NM_001370048.1	nmo
ref::NT_037436.4	45673	116960	rna-NM_079243.4	nmo
ref::NT_037436.4	45673	116960	rna-NM_168248.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168249.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168250.3	nmo
ref::NT_037436.4	45673	116960	rna-NM_168252.3	nmo
ref::NT_037436.4	45673	119296	rna-NM_168251.3	nmo
ref::NT_037436.4	45673	120774	rna-NM_001274626.1	nmo
qry::NC_052529.2	0	2709	rna-XM_002094064.4	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_015194483.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_015194484.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_015194486.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_015194487.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_015194488.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XR_001454089.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XR_001454090.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XR_001454091.3	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_039373694.2	LOC6533375
qry::NC_052529.2	0	2709	rna-XM_039373695.1	LOC6533375
qry::NC_052529.2	3000	3874	rna-XM_002094065.3	LOC6533376
qry::NC_052529.2	12013	12642	rna-XM_015194491.2	LOC26534898
qry::NC_052529.2	12222	12642	rna-XM_015194492.2	LOC26534898
qry::NC_052529.2	15354	18892	rna-XM_002094066.4	LOC6533377
qry::NC_052529.2	38389	40109	rna-XM_002094067.3	LOC6533378
qry::NC_052529.2	40294	42822	rna-XM_002094068.4	LOC6533379
qry::NC_052529.2	40294	42823	rna-XM_039374435.2	LOC6533379
qry::NC_052529.2	43282	43996	rna-XM_002094069.4	LOC6533380
qry::NC_052529.2	44251	45641	rna-XM_002094070.3	LOC6533381
qry::NC_052529.2	45805	46567	rna-XM_002094071.4	LOC6533382
