seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	174	rna-NM_141453.5	Noc3
ref::NT_033777.3	295	1345	rna-NM_001300277.1	CG10053
ref::NT_033777.3	421	1345	rna-NM_141454.3	CG10053
ref::NT_033777.3	1356	2702	rna-NM_001300278.1	CG1227
ref::NT_033777.3	1356	2943	rna-NM_141455.4	CG1227
ref::NT_033777.3	3000	4955	rna-NM_141456.4	Dtwd2
ref::NT_033777.3	3930	4760	rna-NM_057642.3	Obp84a
ref::NT_033777.3	3930	5162	rna-NM_001104230.3	Obp84a
ref::NT_033777.3	5268	18908	rna-NM_001363924.1	Gld
ref::NT_033777.3	5268	18908	rna-NM_058155.5	Gld
ref::NT_033777.3	16645	17497	rna-NR_125094.1	lncRNA:CR44338
ref::NT_033777.3	19270	24014	rna-NM_058116.5	Syt4
ref::NT_033777.3	24248	25714	gene-Dmel_CR10032	CR10032
ref::NT_033777.3	25822	30684	rna-NM_206456.2	rn
ref::NT_033777.3	25822	55438	rna-NM_001144549.2	rn
ref::NT_033777.3	25822	62834	rna-NM_001275414.2	rn
ref::NT_033777.3	25822	62834	rna-NM_141458.3	rn
qry::NC_052523.2	0	337	rna-XM_002102426.4	LOC6727065
qry::NC_052523.2	459	2106	rna-XM_002102427.4	LOC6727066
qry::NC_052523.2	1461	2879	rna-XM_002102428.4	LOC6727067
qry::NC_052523.2	3000	4129	rna-XM_002102429.4	LOC6727068
qry::NC_052523.2	4026	5279	rna-XM_002102430.4	LOC6727069
qry::NC_052523.2	4026	5279	rna-XM_016175852.3	LOC6727069
qry::NC_052523.2	5368	18999	rna-XM_039295706.2	LOC6727070
qry::NC_052523.2	5368	19007	rna-XM_016175851.1	LOC6727070
qry::NC_052523.2	6000	19007	rna-XM_039295707.2	LOC6727070
qry::NC_052523.2	19365	24252	rna-XM_016176256.2	LOC6727071
qry::NC_052523.2	25263	27139	gene-LOC6727072	LOC6727072
qry::NC_052523.2	26885	34911	rna-XM_039295703.2	LOC6727073
qry::NC_052523.2	26885	34911	rna-XM_039295704.2	LOC6727073
qry::NC_052523.2	26885	36221	rna-XM_039295705.2	LOC6727073
qry::NC_052523.2	26885	36221	rna-XM_044923398.1	LOC6727073
qry::NC_052523.2	26885	57642	rna-XM_039295702.2	LOC6727073
qry::NC_052523.2	26885	58772	rna-XM_044923397.1	LOC6727073
qry::NC_052523.2	26885	63977	rna-XM_016175850.3	LOC6727073
