seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	990	rna-NM_170130.3	twin
ref::NT_033777.3	0	439	rna-NM_170128.2	twin
ref::NT_033777.3	0	1520	rna-NM_170129.3	twin
ref::NT_033777.3	0	1520	rna-NM_176555.2	twin
ref::NT_033777.3	0	990	rna-NM_170131.3	twin
ref::NT_033777.3	658	3083	rna-NM_170134.2	cav
ref::NT_033777.3	658	3083	rna-NM_170135.2	cav
ref::NT_033777.3	1086	3083	rna-NM_079753.4	cav
ref::NT_033777.3	1797	3083	rna-NM_170133.2	cav
ref::NT_033777.3	3000	6489	rna-NM_001275973.1	Spps
ref::NT_033777.3	3000	6489	rna-NM_142975.3	Spps
ref::NT_033777.3	6578	8093	rna-NM_142976.5	CG13609
ref::NT_033777.3	7897	9590	rna-NM_001260350.2	Spase22-23
ref::NT_033777.3	8530	8834	rna-NM_080159.3	Acp95EF
ref::NT_033777.3	8861	9590	rna-NM_142977.5	Spase22-23
ref::NT_033777.3	9453	10919	rna-NR_125241.1	lncRNA:CR45217
ref::NT_033777.3	9453	10919	rna-NR_125242.1	lncRNA:CR45217
ref::NT_033777.3	10117	28408	rna-NM_176557.2	mask
ref::NT_033777.3	10117	29803	rna-NM_001260351.1	mask
ref::NT_033777.3	10117	29803	rna-NM_001275975.1	mask
ref::NT_033777.3	10117	29803	rna-NM_176556.2	mask
ref::NT_033777.3	10741	11274	rna-NR_074057.1	lncRNA:CR44092
qry::NC_052530.2	0	1844	rna-XM_015193524.2	LOC6538752
qry::NC_052530.2	0	2516	rna-XM_002099230.3	LOC6538752
qry::NC_052530.2	0	2516	rna-XM_015193527.2	LOC6538752
qry::NC_052530.2	0	2516	rna-XM_015193528.2	LOC6538752
qry::NC_052530.2	3000	3762	rna-XM_002099231.4	LOC6538753
qry::NC_052530.2	3749	4201	rna-XM_015193530.2	LOC122319441
qry::NC_052530.2	4592	6032	rna-XM_039376761.2	LOC26535842
qry::NC_052530.2	6483	9723	rna-XM_002099233.4	LOC6538755
qry::NC_052530.2	9518	10767	rna-XM_039376762.2	LOC6538756
qry::NC_052530.2	9518	10844	rna-XM_002099234.4	LOC6538756
qry::NC_052530.2	11196	30933	rna-XM_015193531.2	LOC26534737
