seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	3000	3407	rna-NM_001202198.2	CG42815
ref::NT_037436.4	4009	9515	rna-NM_168748.4	CG42816
ref::NT_037436.4	9659	14200	rna-NM_140751.4	NUCB1
ref::NT_037436.4	14411	16636	rna-NM_140752.3	ais
ref::NT_037436.4	16837	18286	rna-NM_168749.2	CG32187
ref::NT_037436.4	18372	20725	rna-NM_168750.4	CG32191
ref::NT_037436.4	18372	21067	rna-NM_001300173.1	CG32191
ref::NT_037436.4	21152	24812	rna-NM_001275070.1	Cln3
ref::NT_037436.4	21152	26040	rna-NM_140754.2	Cln3
qry::NC_052522.2	3000	3461	rna-XM_039293758.2	LOC27206215
qry::NC_052522.2	5564	10753	rna-XM_044922919.1	LOC6738508
qry::NC_052522.2	5564	11244	rna-XM_039293602.2	LOC6738508
qry::NC_052522.2	5564	11245	rna-XM_039293604.2	LOC6738508
qry::NC_052522.2	5565	11241	rna-XM_039293603.2	LOC6738508
qry::NC_052522.2	5624	11243	rna-XM_039293605.2	LOC6738508
qry::NC_052522.2	5629	11243	rna-XM_039293606.2	LOC6738508
qry::NC_052522.2	11256	13852	rna-XM_039293613.2	LOC120284776
qry::NC_052522.2	14009	17342	rna-XM_039293609.2	LOC120284775
qry::NC_052522.2	14009	17342	rna-XM_039293610.2	LOC120284775
qry::NC_052522.2	14009	33619	rna-XM_039293608.2	LOC120284775
qry::NC_052522.2	16083	33619	rna-XM_044922920.1	LOC120284775
qry::NC_052522.2	25487	25944	rna-XM_039293615.2	LOC120284777
qry::NC_052522.2	28047	33619	rna-XM_039293607.2	LOC120284775
qry::NC_052522.2	33733	36329	rna-XM_039293612.2	LOC6738509
qry::NC_052522.2	36488	38775	rna-XM_002085280.4	LOC6738510
qry::NC_052522.2	38924	40560	rna-XM_002085281.4	LOC6738511
qry::NC_052522.2	38924	40560	rna-XM_039293614.2	LOC6738511
qry::NC_052522.2	40666	43128	rna-XM_016169316.3	LOC6738512
qry::NC_052522.2	43269	46933	rna-XM_016184520.3	LOC27208984
qry::NC_052522.2	43269	48170	rna-XM_016184521.3	LOC27208984
