seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	4000	rna-NM_001299947.1	lov
ref::NT_033778.4	3000	4000	rna-NM_001259589.2	CG43106
ref::NT_033778.4	32032	34228	rna-NM_001038886.3	CG34038
ref::NT_033778.4	32032	34228	rna-NM_001259590.1	CG34038
ref::NT_033778.4	36618	37068	rna-NM_001169830.1	Sfp60F
ref::NT_033778.4	36689	37061	rna-NM_001299949.1	Sfp60F
ref::NT_033778.4	37941	38603	rna-NM_001299950.1	EbpII
ref::NT_033778.4	38170	38603	rna-NM_079142.4	EbpII
ref::NT_033778.4	39499	41088	rna-NM_001274249.1	Ebp
ref::NT_033778.4	39826	41088	rna-NM_138151.3	Ebp
qry::NC_052521.2	3000	4039	rna-XM_016183160.3	LOC27207477
qry::NC_052521.2	14059	16563	rna-XM_016168957.3	LOC6736181
qry::NC_052521.2	14065	16563	rna-XM_016168956.3	LOC6736181
qry::NC_052521.2	18951	19354	rna-XM_016183361.3	LOC27207673
qry::NC_052521.2	20420	20888	rna-XM_002083041.4	LOC6736182
qry::NC_052521.2	21985	23533	rna-XM_016181164.3	LOC6736183
