seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	888	rna-NM_001169608.2	CG8726
ref::NT_033778.4	0	888	rna-NM_136497.5	CG8726
ref::NT_033778.4	0	888	rna-NM_165580.4	CG8726
ref::NT_033778.4	1060	2984	rna-NM_058096.4	CSN4
ref::NT_033778.4	1460	2984	rna-NM_001169609.2	CSN4
ref::NT_033778.4	3000	12948	rna-NM_001103757.3	ACC
ref::NT_033778.4	3000	16122	rna-NM_001103756.3	ACC
ref::NT_033778.4	3000	16122	rna-NM_136498.3	ACC
ref::NT_033778.4	3000	16122	rna-NM_165581.3	ACC
ref::NT_033778.4	3000	18599	rna-NM_001299248.1	ACC
ref::NT_033778.4	3000	20747	rna-NM_001299249.1	ACC
ref::NT_033778.4	17347	20168	rna-NM_165582.2	Nup44A
ref::NT_033778.4	17417	20168	rna-NM_165583.2	Nup44A
ref::NT_033778.4	18744	20168	rna-NM_136499.3	Nup44A
ref::NT_033778.4	21081	21452	rna-NR_124459.1	lncRNA:CR44272
ref::NT_033778.4	22683	23853	rna-NM_001299250.1	Dic3
ref::NT_033778.4	22683	23853	rna-NM_136500.3	Dic3
qry::NC_052527.2	0	799	rna-XM_002089522.4	LOC6528512
qry::NC_052527.2	0	860	rna-XM_015198854.3	LOC6528512
qry::NC_052527.2	1404	3282	rna-XM_002089523.4	LOC6528513
qry::NC_052527.2	3000	12905	rna-XM_015198850.3	LOC6528514
qry::NC_052527.2	3000	16071	rna-XM_015198848.2	LOC6528514
qry::NC_052527.2	3000	16071	rna-XM_039371194.1	LOC6528514
qry::NC_052527.2	3000	18554	rna-XM_015198853.3	LOC6528514
qry::NC_052527.2	11827	12346	rna-XR_005560255.1	LOC120320725
qry::NC_052527.2	11827	12346	rna-XR_005560256.1	LOC120320725
qry::NC_052527.2	18586	20110	rna-XM_002089525.3	LOC6528515
qry::NC_052527.2	22888	24104	rna-XM_002089526.4	LOC6528516
