seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	410	627	rna-NR_124108.1	lncRNA:CR45288
ref::NT_033779.5	2372	2961	rna-NR_124109.1	lncRNA:CR45289
ref::NT_033779.5	2623	2961	rna-NR_124110.1	lncRNA:CR45289
ref::NT_033779.5	3000	3681	rna-NM_001273181.2	Sfp26Ad
ref::NT_033779.5	3157	3661	rna-NM_001169422.3	Sfp26Ad
ref::NT_033779.5	4020	7994	rna-NM_001273182.1	Gpdh1
ref::NT_033779.5	4020	9220	rna-NM_001273183.2	Gpdh1
ref::NT_033779.5	4020	9345	rna-NM_001273184.2	Gpdh1
ref::NT_033779.5	4342	8249	rna-NM_057219.4	Gpdh1
ref::NT_033779.5	4342	8690	rna-NM_057217.4	Gpdh1
ref::NT_033779.5	4342	9220	rna-NM_057218.4	Gpdh1
ref::NT_033779.5	8024	8774	rna-NR_124111.1	lncRNA:CR44986
ref::NT_033779.5	9827	15612	rna-NM_001273185.1	CG9044
ref::NT_033779.5	9827	15612	rna-NM_135127.3	CG9044
qry::NC_052527.2	0	1823	rna-XM_002089125.4	LOC6528094
qry::NC_052527.2	0	1823	rna-XM_015198985.3	LOC6528094
qry::NC_052527.2	0	1823	rna-XM_039371840.2	LOC6528094
qry::NC_052527.2	2340	7267	rna-XM_015198984.3	LOC6528095
qry::NC_052527.2	3000	7268	rna-XM_002089126.3	LOC6528095
qry::NC_052527.2	7955	8475	rna-XM_015199207.3	LOC26536095
