seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	2072	2891	rna-NM_001299571.1	Sfp53D
ref::NT_033778.4	2315	2891	rna-NM_001169699.2	Sfp53D
ref::NT_033778.4	3000	4356	rna-NM_137307.4	CG15617
ref::NT_033778.4	5611	6367	rna-NM_001299572.1	Acp53C14a
ref::NT_033778.4	5837	6367	rna-NM_137308.3	Acp53C14a
ref::NT_033778.4	6592	7237	rna-NM_001299573.1	Acp53C14b
ref::NT_033778.4	6683	7237	rna-NM_137309.4	Acp53C14b
ref::NT_033778.4	7580	8112	rna-NM_057803.5	Acp53Ea
ref::NT_033778.4	8553	9272	rna-NM_001014532.3	Acp53C14c
ref::NT_033778.4	8553	9272	rna-NM_001202032.2	Acp53C14c
ref::NT_033778.4	9280	23777	rna-NM_001103876.3	unc-104
ref::NT_033778.4	9280	23777	rna-NM_001259444.2	unc-104
ref::NT_033778.4	9280	23777	rna-NM_001259445.2	unc-104
ref::NT_033778.4	9280	23777	rna-NM_137311.5	unc-104
ref::NT_033778.4	9280	23777	rna-NM_166190.4	unc-104
ref::NT_033778.4	9280	30277	rna-NM_001274104.2	unc-104
ref::NT_033778.4	9280	30277	rna-NM_001316424.1	unc-104
ref::NT_033778.4	9280	30448	rna-NM_166192.4	unc-104
ref::NT_033778.4	12221	12702	rna-NM_001103877.2	CG34189
qry::NC_052521.2	3000	3633	rna-XM_002081773.4	LOC6734806
qry::NC_052521.2	3000	5083	rna-XM_002081774.4	LOC6734807
qry::NC_052521.2	5185	6729	rna-XR_001601048.3	LOC27208796
qry::NC_052521.2	6583	7139	rna-XM_002081775.3	LOC6734808
qry::NC_052521.2	7431	8051	rna-XM_002081776.4	LOC6734809
qry::NC_052521.2	8365	8944	rna-XM_002081777.3	LOC6734810
qry::NC_052521.2	9349	10010	rna-XM_039292877.1	LOC6734811
qry::NC_052521.2	9349	10042	rna-XM_016181790.2	LOC6734811
qry::NC_052521.2	9349	10074	rna-XM_016181791.2	LOC6734811
qry::NC_052521.2	10028	22753	rna-XM_016181775.2	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181776.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181777.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181778.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181779.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181780.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181782.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181784.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181785.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181786.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181787.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181788.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_016181789.3	LOC6734812
qry::NC_052521.2	10028	22753	rna-XM_039292874.2	LOC6734812
qry::NC_052521.2	10028	22824	rna-XM_039292875.2	LOC6734812
qry::NC_052521.2	10028	30988	rna-XM_016181781.3	LOC6734812
qry::NC_052521.2	10028	30988	rna-XM_016181783.3	LOC6734812
qry::NC_052521.2	13021	13497	rna-XM_016183958.3	LOC27208376
