seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	3803	rna-NR_073846.1	asRNA:CR44169
ref::NT_033778.4	0	3803	rna-NR_073847.1	asRNA:CR44169
ref::NT_033778.4	0	2356	rna-NM_206033.2	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206034.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206032.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206035.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206036.2	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_165495.4	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206037.3	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206038.3	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206039.3	Spn42Da
ref::NT_033778.4	610	2356	rna-NM_165496.3	Spn42Da
ref::NT_033778.4	610	2642	rna-NM_080216.3	Spn42Da
ref::NT_033778.4	3000	4485	rna-NM_001273817.1	Spn42Db
ref::NT_033778.4	3000	4485	rna-NM_136400.3	Spn42Db
ref::NT_033778.4	4710	7122	rna-NM_001259225.2	Spn42Dc
ref::NT_033778.4	5363	7122	rna-NM_136401.5	Spn42Dc
ref::NT_033778.4	6995	8588	rna-NM_001169596.3	Spn42Dd
ref::NT_033778.4	9267	11977	rna-NM_001259226.2	Spn42De
ref::NT_033778.4	10108	11977	rna-NM_136402.4	Spn42De
ref::NT_033778.4	15475	46328	rna-NM_144058.3	CG30158
ref::NT_033778.4	47081	48396	rna-NM_136404.4	CG3358
ref::NT_033778.4	47081	48644	rna-NM_001259227.2	CG3358
ref::NT_033778.4	47161	48396	rna-NM_165497.3	CG3358
ref::NT_033778.4	48402	95352	rna-NM_001273819.1	mim
qry::NC_052521.2	0	2573	rna-XM_039291370.2	LOC6733283
qry::NC_052521.2	0	2852	rna-XM_016167408.2	LOC6733283
qry::NC_052521.2	41	2571	rna-XM_039291369.2	LOC6733283
qry::NC_052521.2	41	2852	rna-XM_016167407.2	LOC6733283
qry::NC_052521.2	298	2572	rna-XM_039291368.2	LOC6733283
qry::NC_052521.2	298	2852	rna-XM_016167410.3	LOC6733283
qry::NC_052521.2	799	2571	rna-XM_016167411.3	LOC6733283
qry::NC_052521.2	799	2571	rna-XM_039291367.2	LOC6733283
qry::NC_052521.2	799	2852	rna-XM_002080310.4	LOC6733283
qry::NC_052521.2	3000	4714	rna-XM_002080311.4	LOC6733284
qry::NC_052521.2	3547	7187	rna-XM_039291371.2	LOC6733285
qry::NC_052521.2	3548	4714	rna-XM_016167406.3	LOC6733284
qry::NC_052521.2	4886	7187	rna-XM_016167548.3	LOC6733285
qry::NC_052521.2	5178	7187	rna-XM_016167547.3	LOC6733285
qry::NC_052521.2	6940	8603	rna-XM_016167549.3	LOC6733286
qry::NC_052521.2	9151	12293	rna-XM_016167550.3	LOC6733287
qry::NC_052521.2	10284	12293	rna-XM_039291372.1	LOC6733287
qry::NC_052521.2	15825	46562	rna-XM_016167554.3	LOC6733288
qry::NC_052521.2	15828	46562	rna-XM_016167555.2	LOC6733288
qry::NC_052521.2	48460	50078	rna-XM_002080316.4	LOC6733289
