seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	3000	3575	rna-NR_124288.1	lncRNA:CR44865
ref::NT_033779.5	3000	4548	rna-NM_001299029.1	CG15255
ref::NT_033779.5	3561	4548	rna-NM_135911.3	CG15255
ref::NT_033779.5	5323	6164	rna-NM_135912.3	Semp1
ref::NT_033779.5	6734	7657	rna-NM_001299030.1	CG15254
ref::NT_033779.5	6777	7657	rna-NM_135913.4	CG15254
ref::NT_033779.5	8186	9180	rna-NM_135914.2	CG15253
ref::NT_033779.5	9826	10744	rna-NM_135915.2	CG11865
qry::NC_052527.2	3000	4240	rna-XM_002089985.4	LOC6528989
qry::NC_052527.2	4611	5532	rna-XM_002089986.4	LOC6528990
qry::NC_052527.2	6952	7833	rna-XM_002089987.3	LOC6528991
qry::NC_052527.2	9015	10010	rna-XM_002089988.4	LOC6528992
