seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	2072	2891	rna-NM_001299571.1	Sfp53D
ref::NT_033778.4	2315	2891	rna-NM_001169699.2	Sfp53D
ref::NT_033778.4	3000	4356	rna-NM_137307.4	CG15617
ref::NT_033778.4	5611	6367	rna-NM_001299572.1	Acp53C14a
ref::NT_033778.4	5837	6367	rna-NM_137308.3	Acp53C14a
ref::NT_033778.4	6592	7237	rna-NM_001299573.1	Acp53C14b
ref::NT_033778.4	6683	7237	rna-NM_137309.4	Acp53C14b
ref::NT_033778.4	7580	8112	rna-NM_057803.5	Acp53Ea
ref::NT_033778.4	8553	9272	rna-NM_001014532.3	Acp53C14c
ref::NT_033778.4	8553	9272	rna-NM_001202032.2	Acp53C14c
ref::NT_033778.4	9280	23777	rna-NM_001103876.3	unc-104
ref::NT_033778.4	9280	23777	rna-NM_001259444.2	unc-104
ref::NT_033778.4	9280	23777	rna-NM_001259445.2	unc-104
ref::NT_033778.4	9280	23777	rna-NM_137311.5	unc-104
ref::NT_033778.4	9280	23777	rna-NM_166190.4	unc-104
ref::NT_033778.4	9280	30277	rna-NM_001274104.2	unc-104
ref::NT_033778.4	9280	30277	rna-NM_001316424.1	unc-104
ref::NT_033778.4	9280	30448	rna-NM_166192.4	unc-104
ref::NT_033778.4	12221	12702	rna-NM_001103877.2	CG34189
qry::NC_052528.2	0	2891	rna-XM_015195794.2	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373220.1	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373221.1	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373222.1	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373223.1	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373224.1	LOC6531363
qry::NC_052528.2	0	2891	rna-XM_039373225.1	LOC6531363
qry::NC_052528.2	3000	3621	rna-XM_002092132.3	LOC6531365
qry::NC_052528.2	4150	4706	rna-XM_002092133.3	LOC6531366
qry::NC_052528.2	5051	5694	rna-XM_002092134.3	LOC6531367
qry::NC_052528.2	5977	6542	rna-XM_002092135.3	LOC6531368
qry::NC_052528.2	6584	6990	rna-XR_001454257.3	LOC26535584
qry::NC_052528.2	7544	9363	rna-XM_002092136.4	LOC6531369
qry::NC_052528.2	9576	10144	rna-XM_002092137.4	LOC6531370
