seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	201	1656	rna-NM_141122.4	CG7133
ref::NT_037436.4	2189	2889	rna-NM_141123.3	CG7130
ref::NT_037436.4	3000	4620	rna-NM_001275273.1	RpLP0
ref::NT_037436.4	3225	4620	rna-NM_079487.4	RpLP0
ref::NT_037436.4	7455	7687	rna-NM_001170024.2	Sfp79B
ref::NT_037436.4	9853	10500	rna-NM_001275274.1	msopa
ref::NT_037436.4	9941	10317	rna-NM_080120.3	msopa
ref::NT_037436.4	49065	49879	rna-NR_144657.1	lncRNA:CR45236
ref::NT_037436.4	63223	169925	rna-NM_168948.5	olf413
ref::NT_037436.4	63223	174835	rna-NM_001275275.1	olf413
ref::NT_037436.4	103556	104732	rna-NR_133301.1	lncRNA:CR45971
ref::NT_037436.4	124916	125374	rna-NR_133302.1	lncRNA:CR45972
ref::NT_037436.4	152653	153011	rna-NR_125040.1	lncRNA:CR45035
qry::NC_052529.2	235	2985	rna-XM_039374634.2	LOC6535132
qry::NC_052529.2	235	2989	rna-XM_039374635.2	LOC6535132
qry::NC_052529.2	1609	2977	rna-XM_043207073.1	LOC6535132
qry::NC_052529.2	3000	4499	rna-XM_002095759.4	LOC6535133
qry::NC_052529.2	10074	10413	rna-XM_043207074.1	LOC122319599
qry::NC_052529.2	48404	49092	rna-XR_005561061.2	LOC120321459
qry::NC_052529.2	59480	170749	rna-XM_039373509.2	LOC6539817
