seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	143	rna-NM_142310.2	CG17560
ref::NT_033777.3	1043	2967	rna-NM_142311.4	CG14893
ref::NT_033777.3	3000	4982	rna-NM_142312.2	Ccdc114
ref::NT_033777.3	5503	18313	rna-NM_001104344.2	Fas1
ref::NT_033777.3	5503	18313	rna-NM_169724.2	Fas1
ref::NT_033777.3	5503	20036	rna-NM_001144594.2	Fas1
ref::NT_033777.3	5503	20036	rna-NM_001275716.1	Fas1
ref::NT_033777.3	5556	18313	rna-NM_169725.2	Fas1
ref::NT_033777.3	5556	18313	rna-NM_169726.2	Fas1
ref::NT_033777.3	5556	20036	rna-NM_001144593.2	Fas1
ref::NT_033777.3	20470	23038	rna-NM_080492.3	nonA-l
ref::NT_033777.3	20470	23377	rna-NM_001275717.1	nonA-l
qry::NC_052523.2	136	3073	rna-XM_016183976.3	LOC27208394
qry::NC_052523.2	3000	20449	rna-XM_016176573.3	LOC6727790
qry::NC_052523.2	3396	9621	rna-XM_039295745.2	LOC6727789
qry::NC_052523.2	3396	17903	rna-XM_016175451.3	LOC6727789
qry::NC_052523.2	3396	17903	rna-XM_016175464.3	LOC6727789
qry::NC_052523.2	3396	17903	rna-XM_016175466.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175452.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175453.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175454.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175455.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175456.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175457.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175458.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175459.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175460.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175461.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175462.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_016175467.3	LOC6727789
qry::NC_052523.2	3396	17904	rna-XM_039295744.2	LOC6727789
qry::NC_052523.2	20600	25252	rna-XM_044923396.1	LOC6727792
