seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	875	rna-NM_139552.3	CG14969
ref::NT_037436.4	1476	1685	rna-NM_168027.1	Drsl1
ref::NT_037436.4	1929	2315	rna-NM_168028.2	Drsl6
ref::NT_037436.4	2757	34030	rna-NM_001202112.2	kst
ref::NT_037436.4	2757	34030	rna-NM_001274439.1	kst
ref::NT_037436.4	3000	34030	rna-NM_079176.3	kst
ref::NT_037436.4	3000	34030	rna-NM_206265.3	kst
ref::NT_037436.4	3000	34030	rna-NM_206266.3	kst
ref::NT_037436.4	16005	34030	rna-NM_001104022.3	kst
ref::NT_037436.4	16005	34030	rna-NM_001274438.1	kst
ref::NT_037436.4	35453	35839	rna-NM_079177.4	Drs
ref::NT_037436.4	36348	40067	rna-NM_139554.4	Ythdc1
ref::NT_037436.4	37184	40067	rna-NM_168029.2	Ythdc1
ref::NT_037436.4	40179	42546	rna-NM_168030.2	CG12010
ref::NT_037436.4	42654	43584	rna-NM_001169868.2	CG12012
ref::NT_037436.4	42654	43584	rna-NM_139556.2	CG12012
ref::NT_037436.4	42654	43889	rna-NM_001300000.1	CG12012
ref::NT_037436.4	44165	45980	rna-NM_139557.2	Ids
qry::NC_052529.2	0	21016	rna-XM_015194133.3	LOC6532818
qry::NC_052529.2	0	21016	rna-XM_015194138.3	LOC6532818
qry::NC_052529.2	3000	21016	rna-XM_002093519.4	LOC6532818
qry::NC_052529.2	3000	21016	rna-XM_039374966.2	LOC6532818
qry::NC_052529.2	3001	21016	rna-XM_015194136.3	LOC6532818
qry::NC_052529.2	3001	21016	rna-XM_015194137.3	LOC6532818
qry::NC_052529.2	22058	22434	rna-XM_002093520.4	LOC6532819
qry::NC_052529.2	22867	26593	rna-XM_002093521.3	LOC6532820
qry::NC_052529.2	26697	29014	rna-XM_002093522.4	LOC6532821
qry::NC_052529.2	29161	30030	rna-XM_002093523.3	LOC6532822
qry::NC_052529.2	29659	32160	rna-XR_005561355.1	LOC120321631
qry::NC_052529.2	30708	32533	rna-XM_002093524.4	LOC6532823
qry::NC_052529.2	30708	32533	rna-XM_039374967.2	LOC6532823
