seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	200	rna-NM_057859.4	cag
ref::NT_033778.4	245	3008	rna-NM_136784.4	CG12942
ref::NT_033778.4	2930	3671	rna-NM_001273948.1	ND-B14
ref::NT_033778.4	3000	3671	rna-NM_136785.3	ND-B14
ref::NT_033778.4	3817	4846	rna-NM_001273949.1	Polr2E
ref::NT_033778.4	4031	4846	rna-NM_136786.3	Polr2E
ref::NT_033778.4	9356	11349	rna-NM_001299372.1	polyph
ref::NT_033778.4	9356	11349	rna-NM_136787.2	polyph
ref::NT_033778.4	15709	16271	rna-NM_136788.1	Obp47a
ref::NT_033778.4	15709	16271	rna-NM_206088.1	Obp47a
qry::NC_052528.2	3000	3644	rna-XM_002090308.2	LOC6529339
qry::NC_052528.2	8080	9625	rna-XM_015196696.2	LOC6529340
qry::NC_052528.2	8080	9837	rna-XM_015196697.2	LOC6529340
qry::NC_052528.2	8080	9964	rna-XM_039372897.1	LOC6529340
qry::NC_052528.2	8080	10090	rna-XM_002090309.3	LOC6529340
qry::NC_052528.2	8080	10090	rna-XM_039372896.2	LOC6529340
qry::NC_052528.2	8342	10090	rna-XM_039372898.2	LOC6529340
qry::NC_052528.2	9267	10092	rna-XM_039372899.1	LOC6529340
qry::NC_052528.2	9374	10092	rna-XM_039372900.1	LOC6529340
qry::NC_052528.2	15116	15948	rna-XM_002090310.4	LOC6529341
qry::NC_052528.2	16393	17026	rna-XM_002090311.4	LOC6529342
qry::NC_052528.2	17037	19901	rna-XM_002090312.3	LOC6529343
