seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1642	rna-NM_142047.4	flfl
ref::NT_033777.3	1790	3250	rna-NM_142048.2	CG14367
ref::NT_033777.3	3000	6306	rna-NM_001104304.2	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275616.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275617.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_001275618.1	f-cup
ref::NT_033777.3	3000	7282	rna-NM_142049.3	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001104302.2	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001104303.2	f-cup
ref::NT_033777.3	3000	8575	rna-NM_001275615.1	f-cup
ref::NT_033777.3	3000	8575	rna-NM_169550.2	f-cup
ref::NT_033777.3	8302	10901	rna-NM_142050.3	ninaB
ref::NT_033777.3	10821	13139	rna-NM_079621.3	Adgf-D
ref::NT_033777.3	14494	16866	rna-NM_142051.3	Adgf-C
ref::NT_033777.3	16896	17676	rna-NM_169551.4	Argp
ref::NT_033777.3	17754	18560	rna-NM_001032015.2	primo-1
ref::NT_033777.3	17754	19572	rna-NM_001032016.2	primo-1
ref::NT_033777.3	17754	19572	rna-NM_001032017.2	primo-2
ref::NT_033777.3	20206	21941	rna-NR_048384.2	lncRNA:CR34044
qry::NC_052523.2	1955	3076	rna-XM_044923447.1	LOC6728182
qry::NC_052523.2	1961	3076	rna-XM_002103495.4	LOC6728182
qry::NC_052523.2	3000	3944	rna-XM_039295630.2	LOC6728183
qry::NC_052523.2	3901	4773	rna-XM_002103497.4	LOC6728184
qry::NC_052523.2	4790	7451	rna-XM_002103498.4	LOC6728185
qry::NC_052523.2	8531	10905	rna-XM_002103499.4	LOC6728186
qry::NC_052523.2	10806	13345	rna-XM_002103500.4	LOC6728187
qry::NC_052523.2	13126	17656	rna-XM_016172043.3	LOC6739718
qry::NC_052523.2	13126	17957	rna-XR_001599811.3	LOC6739718
qry::NC_052523.2	13126	18712	rna-XM_016172042.3	LOC6739718
qry::NC_052523.2	13126	18712	rna-XM_016172044.3	LOC6739718
qry::NC_052523.2	15258	17656	rna-XM_039295618.2	LOC6739718
qry::NC_052523.2	15262	18712	rna-XM_016172046.3	LOC6739718
qry::NC_052523.2	15265	18712	rna-XM_016172045.3	LOC6739718
qry::NC_052523.2	18450	19958	rna-XM_002103501.3	LOC6728188
qry::NC_052523.2	20593	30221	rna-XM_016175258.3	LOC6728189
qry::NC_052523.2	20593	30221	rna-XM_016175259.3	LOC6728189
