seq_id	start	end	transcript_id	gene_name
ref::NC_004354.4	0	1813	rna-NM_001103546.3	CrebB
ref::NC_004354.4	0	1813	rna-NM_001272749.2	CrebB
ref::NC_004354.4	0	2860	rna-NM_001103547.4	CrebB
ref::NC_004354.4	0	2860	rna-NM_001103548.4	CrebB
ref::NC_004354.4	0	1813	rna-NM_001272748.3	CrebB
ref::NC_004354.4	0	1813	rna-NM_001347813.2	CrebB
ref::NC_004354.4	0	1813	rna-NM_001382186.1	CrebB
ref::NC_004354.4	0	1813	rna-NM_206781.4	CrebB
ref::NC_004354.4	0	1813	rna-NM_206783.4	CrebB
ref::NC_004354.4	2517	4847	rna-NM_057542.3	por
ref::NC_004354.4	2517	4850	rna-NM_001272751.1	por
ref::NC_004354.4	3000	4847	rna-NM_001272750.1	por
ref::NC_004354.4	5078	6475	rna-NM_133060.3	CG6179
ref::NC_004354.4	6545	10238	rna-NM_078676.4	betaCOP
ref::NC_004354.4	12080	15340	rna-NM_001298475.1	Tsf1
ref::NC_004354.4	12917	15340	rna-NM_078677.3	Tsf1
ref::NC_004354.4	15494	35140	rna-NM_133061.3	Nt5b
ref::NC_004354.4	15494	35140	rna-NM_206785.2	Nt5b
ref::NC_004354.4	15494	35140	rna-NM_206786.2	Nt5b
ref::NC_004354.4	15546	29581	rna-NM_167614.2	Nt5b
ref::NC_004354.4	15552	35140	rna-NM_167615.2	Nt5b
ref::NC_004354.4	15552	35140	rna-NM_206787.2	Nt5b
ref::NC_004354.4	24565	25061	rna-NM_001103549.2	CG34328
qry::NC_052525.2	0	1576	rna-XM_044923789.1	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298021.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298022.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298024.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298020.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298023.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298026.2	LOC6726339
qry::NC_052525.2	0	1576	rna-XM_039298025.2	LOC6726339
qry::NC_052525.2	3000	4867	rna-XM_016172396.3	LOC27206339
qry::NC_052525.2	5064	6475	rna-XM_016174145.3	LOC6726341
qry::NC_052525.2	6558	10278	rna-XM_016172395.3	LOC6726342
qry::NC_052525.2	12901	15238	rna-XM_016181138.3	LOC6740198
qry::NC_052525.2	15427	21335	rna-XM_039298155.2	LOC6726346
qry::NC_052525.2	15427	29420	rna-XM_039298154.2	LOC6726346
qry::NC_052525.2	15427	33876	rna-XM_039298153.2	LOC6726346
qry::NC_052525.2	15427	35076	rna-XM_039298156.2	LOC6726346
qry::NC_052525.2	15427	35076	rna-XM_039298157.2	LOC6726346
qry::NC_052525.2	24361	25032	rna-XM_039298158.2	LOC27208581
qry::NC_052525.2	33738	41721	rna-XM_016183778.2	LOC27208164
