seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	2811	7042	rna-NM_001298800.1	CG7102
ref::NT_033779.5	3000	7042	rna-NM_175980.2	CG7102
ref::NT_033779.5	4459	4979	rna-NM_135318.2	SmE
ref::NT_033779.5	5032	5638	rna-NM_001042879.2	CG34132
ref::NT_033779.5	7222	8658	rna-NM_001042880.1	Spn28Da
ref::NT_033779.5	8817	10233	rna-NM_001370007.1	Spn28Db
ref::NT_033779.5	10716	103725	rna-NM_001103646.4	Snoo
ref::NT_033779.5	11854	97492	rna-NM_135320.3	Snoo
ref::NT_033779.5	11854	103725	rna-NM_001103647.3	Snoo
ref::NT_033779.5	12960	96594	rna-NM_001103645.4	Snoo
ref::NT_033779.5	103475	106314	rna-NM_164776.4	CG7231
ref::NT_033779.5	104804	106314	rna-NM_135323.5	CG7231
ref::NT_033779.5	104812	106314	rna-NM_001259004.1	CG7231
ref::NT_033779.5	104812	106314	rna-NM_205923.3	CG7231
ref::NT_033779.5	106315	113713	rna-NM_164777.3	pes
ref::NT_033779.5	106642	111109	rna-NM_135324.3	pes
ref::NT_033779.5	106642	112745	rna-NM_001298803.1	pes
ref::NT_033779.5	106642	113106	rna-NM_001298802.1	pes
ref::NT_033779.5	106642	113713	rna-NM_001144336.3	pes
qry::NC_052527.2	0	2522	rna-XM_002087943.4	LOC6526879
qry::NC_052527.2	3000	90037	rna-XM_002087950.3	LOC6526886
qry::NC_052527.2	91419	92848	rna-XM_015198004.3	LOC6526887
qry::NC_052527.2	93028	94513	rna-XM_039370706.1	LOC120320595
qry::NC_052527.2	94610	98787	rna-XM_002087953.4	LOC6526889
qry::NC_052527.2	96078	96636	rna-XM_015199198.2	LOC26536024
qry::NC_052527.2	96764	97282	rna-XM_015199058.2	LOC26534725
qry::NC_052527.2	97225	98787	rna-XM_015198005.3	LOC6526889
