seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	56	rna-NM_001103644.3	RapGAP1
ref::NT_033779.5	3000	4347	rna-NM_001273280.1	Spn28B
ref::NT_033779.5	3000	4409	rna-NM_135284.3	Spn28B
ref::NT_033779.5	16580	18576	rna-NR_190044.1	lncRNA:CR46535
ref::NT_033779.5	25319	25639	rna-NR_124133.1	lncRNA:CR45370
ref::NT_033779.5	26676	28777	rna-NM_135285.3	Cyp4d21
ref::NT_033779.5	29465	37609	rna-NM_001273281.1	CG6739
ref::NT_033779.5	29465	37609	rna-NM_135286.2	CG6739
qry::NC_052527.2	0	2926	rna-XM_002087991.4	LOC6526929
qry::NC_052527.2	0	2926	rna-XM_039370699.2	LOC6526929
qry::NC_052527.2	0	2926	rna-XM_039370700.2	LOC6526929
qry::NC_052527.2	3000	4994	rna-XM_002087992.4	LOC6526930
qry::NC_052527.2	8762	9556	rna-XR_005560332.2	LOC120320779
qry::NC_052527.2	28152	29560	rna-XM_039371113.1	LOC6526931
