seq_id	start	end	transcript_id	gene_name
ref::NT_033779.5	0	3076	rna-NM_001201794.2	CG13384
ref::NT_033779.5	0	3076	rna-NM_001201795.2	CG13384
ref::NT_033779.5	0	3076	rna-NM_001201796.2	CG13384
ref::NT_033779.5	0	3076	rna-NM_001201797.2	CG13384
ref::NT_033779.5	0	3076	rna-NM_164812.5	CG13384
ref::NT_033779.5	0	3076	rna-NM_164814.5	CG13384
ref::NT_033779.5	0	3076	rna-NM_164815.5	CG13384
ref::NT_033779.5	0	3076	rna-NM_205935.3	CG13384
ref::NT_033779.5	0	3076	rna-NM_205936.3	CG13384
ref::NT_033779.5	411	3076	rna-NM_001201798.2	CG13384
ref::NT_033779.5	411	3076	rna-NM_164813.4	CG13384
ref::NT_033779.5	3000	3603	rna-NM_001201799.2	CG42819
ref::NT_033779.5	3996	4092	rna-NR_001626.1	snRNA:U6atac
ref::NT_033779.5	4153	6670	rna-NM_205937.1	CG42820
ref::NT_033779.5	6728	7494	rna-NM_078788.3	Acp29AB
ref::NT_033779.5	7761	8552	rna-NM_144383.2	lectin-29Ca
ref::NT_033779.5	8701	9604	rna-NR_124145.1	asRNA:CR45343
ref::NT_033779.5	8718	9212	rna-NM_001273320.2	Peritrophin-15b
ref::NT_033779.5	8782	9185	rna-NM_001273319.2	Peritrophin-15b
ref::NT_033779.5	8782	9185	rna-NM_080243.4	Peritrophin-15b
ref::NT_033779.5	9937	10368	rna-NM_080244.2	Peritrophin-15a
ref::NT_033779.5	10921	12158	rna-NM_135381.2	CG13385
qry::NC_052520.2	0	2974	rna-XM_016179789.3	LOC6731501
qry::NC_052520.2	0	2974	rna-XM_016179791.3	LOC6731501
qry::NC_052520.2	0	2974	rna-XM_016179793.3	LOC6731501
qry::NC_052520.2	0	2974	rna-XM_016179792.3	LOC6731501
qry::NC_052520.2	3000	3523	rna-XM_039291234.2	LOC27209179
qry::NC_052520.2	3896	3992	rna-XR_005543513.1	LOC120284279
qry::NC_052520.2	4057	6420	rna-XM_002078615.4	LOC6731502
qry::NC_052520.2	6455	7262	rna-XM_002078616.4	LOC6731504
qry::NC_052520.2	7485	8289	rna-XM_002078617.4	LOC6731505
qry::NC_052520.2	8507	9028	rna-XM_002078618.4	LOC6731506
qry::NC_052520.2	9657	10159	rna-XM_002078619.3	LOC6731507
qry::NC_052520.2	10715	11797	rna-XM_002078620.4	LOC6731508
