seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	2387	rna-NM_079456.4	alphaSnap
ref::NT_037436.4	944	3093	rna-NR_073957.1	asRNA:CR43875
ref::NT_037436.4	3000	5757	rna-NM_140948.4	Spn77Ba
ref::NT_037436.4	3000	5757	rna-NM_168844.3	Spn77Ba
ref::NT_037436.4	3000	5926	rna-NM_001300199.1	Spn77Ba
ref::NT_037436.4	6762	8168	rna-NM_140949.2	Spn77Bb
ref::NT_037436.4	8187	9019	gene-Dmel_CR6434	CR6434
ref::NT_037436.4	28444	30129	rna-NM_001275174.1	Spn77Bc
ref::NT_037436.4	28444	30129	rna-NM_140950.2	Spn77Bc
ref::NT_037436.4	31133	31844	gene-Dmel_CR45385	CR45385
ref::NT_037436.4	31546	33752	rna-NM_140952.3	Rbbp5
ref::NT_037436.4	34165	38070	rna-NM_001275175.1	eRF1
ref::NT_037436.4	34165	38937	rna-NM_140953.3	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168845.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168846.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168847.2	eRF1
ref::NT_037436.4	34165	38937	rna-NM_168848.2	eRF1
ref::NT_037436.4	34165	39683	rna-NM_001275176.1	eRF1
ref::NT_037436.4	34747	38937	rna-NM_176369.3	eRF1
qry::NC_052522.2	0	2409	rna-XM_002085592.4	LOC6738828
qry::NC_052522.2	3000	5664	rna-XM_002085593.4	LOC6738829
qry::NC_052522.2	6819	8543	rna-XM_016171783.3	LOC6738830
qry::NC_052522.2	6914	8543	rna-XM_016171782.3	LOC6738830
qry::NC_052522.2	8636	9444	rna-XM_039293839.2	LOC120284795
qry::NC_052522.2	14864	16701	rna-XM_016171784.3	LOC6738831
qry::NC_052522.2	17365	19375	rna-XM_002085596.4	LOC6738832
qry::NC_052522.2	19635	24439	rna-XM_016171792.3	LOC6738833
qry::NC_052522.2	19669	23885	rna-XM_016171789.3	LOC6738833
qry::NC_052522.2	19670	24439	rna-XM_016171793.3	LOC6738833
qry::NC_052522.2	19689	24439	rna-XM_016171790.3	LOC6738833
qry::NC_052522.2	19708	24439	rna-XM_016171791.3	LOC6738833
qry::NC_052522.2	20089	24439	rna-XM_016171785.2	LOC6738833
