seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	717	1429	rna-NM_079523.3	Edg84A
ref::NT_033777.3	3000	4311	rna-NM_141420.3	Ccp84Ag
ref::NT_033777.3	5874	6511	rna-NM_141421.2	Ccp84Af
ref::NT_033777.3	7159	8030	rna-NM_141422.3	Ccp84Ae
ref::NT_033777.3	9004	9799	rna-NM_141423.4	Ccp84Ad
ref::NT_033777.3	11420	12543	rna-NM_141424.3	Ccp84Ac
ref::NT_033777.3	15832	16436	rna-NR_002492.2	lncRNA:CR33938
ref::NT_033777.3	18240	19149	rna-NM_141425.2	Ccp84Ab
ref::NT_033777.3	20356	21175	rna-NM_141426.2	Ccp84Aa
qry::NC_052523.2	322	2099	rna-XM_002102359.4	LOC6726994
qry::NC_052523.2	3000	3946	rna-XM_002102360.3	LOC6726995
qry::NC_052523.2	5845	6567	rna-XM_002102361.4	LOC6726996
qry::NC_052523.2	7285	8150	rna-XM_002102362.3	LOC6726997
qry::NC_052523.2	9020	9850	rna-XM_016176222.2	LOC6726998
qry::NC_052523.2	11869	18761	rna-XM_039295430.2	LOC6726999
qry::NC_052523.2	19996	20870	rna-XM_039295316.1	LOC120285030
