seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	1272	rna-NM_001103905.3	EndoB
ref::NT_033778.4	0	1272	rna-NM_001103906.3	EndoB
ref::NT_033778.4	0	1272	rna-NM_137566.4	EndoB
ref::NT_033778.4	0	1272	rna-NM_166340.3	EndoB
ref::NT_033778.4	1755	16103	rna-NM_001274158.1	Rgk1
ref::NT_033778.4	3000	16103	rna-NM_137567.3	Rgk1
ref::NT_033778.4	3000	47132	rna-NM_166341.3	Rgk1
ref::NT_033778.4	21496	25795	rna-NM_001038872.2	CG34045
ref::NT_033778.4	32416	35102	rna-NM_001202047.2	fest
ref::NT_033778.4	32416	36361	rna-NM_137568.3	fest
ref::NT_033778.4	48139	52980	rna-NM_137569.4	CG11961
ref::NT_033778.4	48923	52980	rna-NM_166342.2	CG11961
ref::NT_033778.4	48923	53731	rna-NM_001259489.2	CG11961
ref::NT_033778.4	54248	57901	rna-NM_137570.2	CG10051
qry::NC_052521.2	0	2553	rna-XM_016181578.3	LOC6735240
qry::NC_052521.2	0	2553	rna-XM_016181580.3	LOC6735240
qry::NC_052521.2	0	2557	rna-XM_016181577.2	LOC6735240
qry::NC_052521.2	0	2557	rna-XM_016181579.3	LOC6735240
qry::NC_052521.2	3000	17345	rna-XM_016181574.3	LOC6735241
qry::NC_052521.2	3000	17345	rna-XM_016181575.3	LOC6735241
qry::NC_052521.2	3000	37854	rna-XM_039292173.2	LOC6735241
qry::NC_052521.2	3000	37854	rna-XM_039292174.2	LOC6735241
qry::NC_052521.2	22531	26935	rna-XM_002082180.4	LOC6735243
qry::NC_052521.2	33621	36847	rna-XM_002082181.4	LOC6735244
qry::NC_052521.2	49152	54017	rna-XM_002082182.4	LOC6735245
qry::NC_052521.2	49226	54017	rna-XM_044922585.1	LOC6735245
qry::NC_052521.2	49916	54017	rna-XM_016168513.3	LOC6735245
qry::NC_052521.2	55209	58959	rna-XM_016168514.3	LOC6735246
