seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	602	rna-NM_079107.4	Snap29
ref::NT_033778.4	840	2863	rna-NM_001299855.1	CG5554
ref::NT_033778.4	840	2863	rna-NM_137994.3	CG5554
ref::NT_033778.4	3000	6912	rna-NM_137995.3	ytr
ref::NT_033778.4	3000	7319	rna-NM_001299856.1	ytr
ref::NT_033778.4	5085	6140	rna-NM_145105.3	eIF6
ref::NT_033778.4	6169	7339	rna-NR_133136.1	asRNA:CR45928
ref::NT_033778.4	7401	9086	rna-NM_001299857.1	gbb
ref::NT_033778.4	7401	9086	rna-NM_057992.3	gbb
ref::NT_033778.4	9109	14760	rna-NM_001299858.1	bgcn
ref::NT_033778.4	9109	14760	rna-NM_079108.3	bgcn
ref::NT_033778.4	11793	12775	rna-NM_166627.3	Pym
ref::NT_033778.4	14906	18432	rna-NM_134318.3	TBPH
ref::NT_033778.4	15169	18432	rna-NM_001169809.2	TBPH
ref::NT_033778.4	15169	18432	rna-NM_001169810.2	TBPH
ref::NT_033778.4	15169	18432	rna-NM_058051.4	TBPH
ref::NT_033778.4	15169	18432	rna-NM_058052.4	TBPH
ref::NT_033778.4	15169	18432	rna-NM_166628.3	TBPH
qry::NC_052521.2	0	641	rna-XM_002082819.4	LOC6735946
qry::NC_052521.2	825	2863	rna-XM_016168827.3	LOC6735947
qry::NC_052521.2	828	2863	rna-XM_002082820.4	LOC6735947
qry::NC_052521.2	3000	6949	rna-XM_016181272.3	LOC6735948
qry::NC_052521.2	5076	6263	rna-XM_016182438.3	LOC27206633
qry::NC_052521.2	7325	9061	rna-XM_039292085.2	LOC6735949
qry::NC_052521.2	8960	14665	rna-XM_016172096.3	LOC6739501
qry::NC_052521.2	11702	12713	rna-XM_016182939.3	LOC27207209
qry::NC_052521.2	15025	18268	rna-XM_016181270.3	LOC6735951
qry::NC_052521.2	15025	18270	rna-XM_016181268.3	LOC6735951
qry::NC_052521.2	15025	18270	rna-XM_016181271.3	LOC6735951
qry::NC_052521.2	15025	18271	rna-XR_001600032.3	LOC6735951
qry::NC_052521.2	15025	18286	rna-XM_016181269.2	LOC6735951
