seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	3000	5196	rna-NM_001038886.3	CG34038
ref::NT_033778.4	3000	5196	rna-NM_001259590.1	CG34038
ref::NT_033778.4	7586	8036	rna-NM_001169830.1	Sfp60F
ref::NT_033778.4	7657	8029	rna-NM_001299949.1	Sfp60F
ref::NT_033778.4	8909	9571	rna-NM_001299950.1	EbpII
ref::NT_033778.4	9138	9571	rna-NM_079142.4	EbpII
ref::NT_033778.4	10467	12056	rna-NM_001274249.1	Ebp
ref::NT_033778.4	10794	12056	rna-NM_138151.3	Ebp
qry::NC_052528.2	2997	5996	rna-XM_039372986.2	LOC6532169
qry::NC_052528.2	3000	5996	rna-XM_002092906.3	LOC6532169
qry::NC_052528.2	7990	8366	rna-XM_015196247.2	LOC26534741
qry::NC_052528.2	8970	9506	rna-XM_002092907.4	LOC6532170
qry::NC_052528.2	10572	12131	rna-XM_015196248.2	LOC6532171
