seq_id	start	end	transcript_id	gene_name
ref::NT_033778.4	0	3803	rna-NR_073846.1	asRNA:CR44169
ref::NT_033778.4	0	3803	rna-NR_073847.1	asRNA:CR44169
ref::NT_033778.4	0	2356	rna-NM_206033.2	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206034.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206032.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206035.2	Spn42Da
ref::NT_033778.4	0	2356	rna-NM_206036.2	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_165495.4	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206037.3	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206038.3	Spn42Da
ref::NT_033778.4	0	2642	rna-NM_206039.3	Spn42Da
ref::NT_033778.4	610	2356	rna-NM_165496.3	Spn42Da
ref::NT_033778.4	610	2642	rna-NM_080216.3	Spn42Da
ref::NT_033778.4	3000	4485	rna-NM_001273817.1	Spn42Db
ref::NT_033778.4	3000	4485	rna-NM_136400.3	Spn42Db
ref::NT_033778.4	4710	7122	rna-NM_001259225.2	Spn42Dc
ref::NT_033778.4	5363	7122	rna-NM_136401.5	Spn42Dc
ref::NT_033778.4	6995	8588	rna-NM_001169596.3	Spn42Dd
ref::NT_033778.4	9267	11977	rna-NM_001259226.2	Spn42De
ref::NT_033778.4	10108	11977	rna-NM_136402.4	Spn42De
ref::NT_033778.4	15475	46328	rna-NM_144058.3	CG30158
ref::NT_033778.4	47081	48396	rna-NM_136404.4	CG3358
ref::NT_033778.4	47081	48644	rna-NM_001259227.2	CG3358
ref::NT_033778.4	47161	48396	rna-NM_165497.3	CG3358
ref::NT_033778.4	48402	95352	rna-NM_001273819.1	mim
qry::NC_052527.2	0	2779	rna-XM_015198931.3	LOC6528336
qry::NC_052527.2	0	2779	rna-XR_006245126.1	LOC6528336
qry::NC_052527.2	0	2779	rna-XM_015198926.2	LOC6528336
qry::NC_052527.2	165	2189	rna-XM_015198934.2	LOC6528336
qry::NC_052527.2	166	2189	rna-XM_015198933.2	LOC6528336
qry::NC_052527.2	583	2474	rna-XM_015198930.3	LOC6528336
qry::NC_052527.2	583	2779	rna-XM_015198935.2	LOC6528336
qry::NC_052527.2	2797	4502	rna-XM_039371698.2	LOC6528337
qry::NC_052527.2	2992	4502	rna-XM_002089354.4	LOC6528337
qry::NC_052527.2	3000	4502	rna-XM_015198923.3	LOC6528337
qry::NC_052527.2	5065	6789	rna-XM_039371696.2	LOC6528338
qry::NC_052527.2	6711	8431	rna-XM_002089356.4	LOC6528339
qry::NC_052527.2	9131	12223	rna-XM_002089357.3	LOC6528340
qry::NC_052527.2	9135	12223	rna-XM_039371697.1	LOC6528340
qry::NC_052527.2	11719	12125	rna-XR_005560425.2	LOC120320841
qry::NC_052527.2	15529	45389	rna-XM_002089358.3	LOC6528341
qry::NC_052527.2	45998	47416	rna-XM_002089359.4	LOC6528342
qry::NC_052527.2	48254	84744	rna-XM_002089360.3	LOC6528343
qry::NC_052527.2	48254	84744	rna-XM_015198906.2	LOC6528343
qry::NC_052527.2	48254	84744	rna-XM_015198907.2	LOC6528343
qry::NC_052527.2	48254	84744	rna-XM_015198908.2	LOC6528343
qry::NC_052527.2	48254	84744	rna-XM_015198909.2	LOC6528343
