seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	717	1429	rna-NM_079523.3	Edg84A
ref::NT_033777.3	3000	4311	rna-NM_141420.3	Ccp84Ag
ref::NT_033777.3	5874	6511	rna-NM_141421.2	Ccp84Af
ref::NT_033777.3	7159	8030	rna-NM_141422.3	Ccp84Ae
ref::NT_033777.3	9004	9799	rna-NM_141423.4	Ccp84Ad
ref::NT_033777.3	11420	12543	rna-NM_141424.3	Ccp84Ac
ref::NT_033777.3	15832	16436	rna-NR_002492.2	lncRNA:CR33938
ref::NT_033777.3	18240	19149	rna-NM_141425.2	Ccp84Ab
ref::NT_033777.3	20356	21175	rna-NM_141426.2	Ccp84Aa
qry::NC_052530.2	1417	2307	rna-XM_039375718.1	LOC6536138
qry::NC_052530.2	3000	4407	rna-XM_015192098.3	LOC6536139
qry::NC_052530.2	9295	10273	rna-XM_002096705.3	LOC6536140
qry::NC_052530.2	12499	13277	rna-XM_039375720.1	LOC6536141
qry::NC_052530.2	14602	15403	rna-XM_002096707.3	LOC6536142
qry::NC_052530.2	16151	16851	rna-XM_002096708.3	LOC6536143
qry::NC_052530.2	18649	19554	rna-XM_002096709.4	LOC6536144
qry::NC_052530.2	20530	22330	rna-XM_002096710.3	LOC6536145
