seq_id	start	end	transcript_id	gene_name
ref::NT_037436.4	0	1363	rna-NM_001274818.1	CAH2
ref::NT_037436.4	0	1363	rna-NM_140298.3	CAH2
ref::NT_037436.4	3000	5876	rna-NM_001274819.1	Miox
ref::NT_037436.4	3974	5876	rna-NM_140299.3	Miox
ref::NT_037436.4	6834	8596	rna-NM_176322.3	Est-6
ref::NT_037436.4	6834	8721	rna-NM_001274820.1	Est-6
ref::NT_037436.4	8712	11704	rna-NM_001316441.1	thoc6
ref::NT_037436.4	8749	10544	rna-NM_176323.2	Est-P
ref::NT_037436.4	10048	11704	rna-NM_140300.4	thoc6
ref::NT_037436.4	10484	11704	rna-NM_001274821.1	thoc6
ref::NT_037436.4	13803	14065	rna-NR_124898.1	lncRNA:CR45746
qry::NC_052522.2	0	437	rna-XM_002084577.4	LOC6737785
qry::NC_052522.2	3000	4519	rna-XM_002084578.4	LOC6737786
qry::NC_052522.2	5932	7700	rna-XM_002084579.4	LOC6737787
qry::NC_052522.2	7839	9609	rna-XM_002084580.4	LOC6737788
qry::NC_052522.2	9581	10820	rna-XM_002084581.4	LOC6737789
