seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	2303	rna-NM_142030.4	GILT1
ref::NT_033777.3	3000	3492	rna-NM_001038962.3	Dpm3
ref::NT_033777.3	3864	5311	rna-NM_142031.4	yellow-e3
ref::NT_033777.3	5550	7439	rna-NM_142032.3	yellow-e2
ref::NT_033777.3	9984	15727	rna-NM_079620.3	yellow-e
ref::NT_033777.3	20720	23581	rna-NM_142033.2	Ir87a
ref::NT_033777.3	26274	26619	rna-NR_125155.1	lncRNA:CR45591
ref::NT_033777.3	26424	28530	rna-NM_057743.5	Act87E
ref::NT_033777.3	26424	28816	rna-NM_001300385.1	Act87E
ref::NT_033777.3	26888	28530	rna-NM_169525.2	Act87E
ref::NT_033777.3	29308	35425	rna-NM_001144572.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_001144573.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_001144574.2	yrt
ref::NT_033777.3	29308	35425	rna-NM_142034.2	yrt
qry::NC_052523.2	0	2229	rna-XM_002103526.3	LOC6728213
qry::NC_052523.2	0	2229	rna-XM_016176791.2	LOC6728213
qry::NC_052523.2	0	2229	rna-XM_016176792.2	LOC6728213
qry::NC_052523.2	3000	5195	rna-XM_016175247.3	LOC6728214
qry::NC_052523.2	8045	11634	rna-XM_016175246.3	LOC6728215
qry::NC_052523.2	16018	21811	rna-XM_016176793.3	LOC6728216
qry::NC_052523.2	24376	26310	rna-XM_016176794.3	LOC6728217
qry::NC_052523.2	26536	28016	rna-XM_002103531.4	LOC6728218
qry::NC_052523.2	28345	28873	rna-XM_016182444.3	LOC27206639
qry::NC_052523.2	29620	32953	rna-XM_002103532.4	LOC6728219
qry::NC_052523.2	29620	32953	rna-XM_039295556.1	LOC6728219
