seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	3000	3377	rna-NM_079774.4	Mst57Dc
ref::NT_033777.3	3740	3907	rna-NM_001170267.2	Sfp96F
ref::NT_033777.3	4399	4593	rna-NM_079775.5	Mst57Db
ref::NT_033777.3	5254	5578	rna-NM_080167.4	Mst57Da
ref::NT_033777.3	5909	16557	rna-NM_143177.4	alpha4GT2
ref::NT_033777.3	17597	18057	rna-NR_125256.1	lncRNA:CR45653
ref::NT_033777.3	19357	19997	rna-NR_125257.1	lncRNA:CR45654
qry::NC_052523.2	3000	3427	rna-XM_039294857.1	LOC120284972
qry::NC_052523.2	3686	3856	rna-XM_016183586.2	LOC27207962
qry::NC_052523.2	4342	4556	rna-XM_016182685.3	LOC27206907
qry::NC_052523.2	5839	7463	rna-XM_002104941.4	LOC6729671
