seq_id	start	end	transcript_id	gene_name
ref::NT_033777.3	0	1746	rna-NM_170477.3	RpS7
ref::NT_033777.3	0	1994	rna-NM_170476.2	RpS7
ref::NT_033777.3	0	2000	rna-NM_143525.4	RpS7
ref::NT_033777.3	0	2072	rna-NM_206589.2	RpS7
ref::NT_033777.3	28	164	rna-NR_003915.1	snoRNA:Psi18S-1377e
ref::NT_033777.3	208	343	rna-NR_003916.1	snoRNA:Psi18S-1377d
ref::NT_033777.3	374	510	rna-NR_003917.1	snoRNA:Psi18S-1377c
ref::NT_033777.3	545	682	rna-NR_003918.1	snoRNA:Psi18S-1377b
ref::NT_033777.3	797	935	rna-NR_002506.2	snoRNA:Psi18S-1377a
ref::NT_033777.3	950	1091	rna-NR_003919.1	snoRNA:Psi28S-2626
ref::NT_033777.3	3000	3333	rna-NM_079848.3	Anp
ref::NT_033777.3	3000	3434	rna-NM_001300676.1	Anp
ref::NT_033777.3	3926	4325	rna-NM_079849.4	CecA1
ref::NT_033777.3	4579	4805	gene-Dmel_CR32926	Cec-Psi1
ref::NT_033777.3	5208	5620	rna-NM_079850.4	CecA2
ref::NT_033777.3	5955	6194	gene-Dmel_CR32934	Cec2
ref::NT_033777.3	6367	6849	rna-NM_079851.3	CecB
qry::NC_052530.2	0	2153	rna-XM_002099332.4	LOC6538855
qry::NC_052530.2	108	243	rna-XR_005561867.1	LOC6538857
qry::NC_052530.2	283	422	rna-XR_005561870.1	LOC6538858
qry::NC_052530.2	454	591	rna-XR_005561869.1	LOC6538859
qry::NC_052530.2	626	763	rna-XR_005561866.1	LOC6538860
qry::NC_052530.2	869	1007	rna-XR_005561865.1	LOC6538861
qry::NC_052530.2	3000	3410	rna-XM_002099333.3	LOC6538863
qry::NC_052530.2	3661	4208	rna-XM_002099334.4	LOC6538864
qry::NC_052530.2	4495	4884	rna-XR_005561582.2	LOC120321856
qry::NC_052530.2	5161	5583	rna-XM_002099335.4	LOC6538865
qry::NC_052530.2	5881	6295	rna-XM_015193588.2	LOC26536326
qry::NC_052530.2	5881	6295	rna-XM_015193589.2	LOC26536326
qry::NC_052530.2	6404	6875	rna-XM_002099336.3	LOC6538866
